A,Y,W,Z,A2,W2,X_age,X_educ,X_fsize,X_marr
21930.0,6000.0,0,0,0,0,32,14,1,0
45165.0,-5000.0,0,0,0,1,48,12,3,1
20760.0,-300.0,0,0,0,1,39,12,2,1
27150.0,-3900.0,0,0,0,0,31,12,3,0
16116.0,850.0,0,0,0,0,26,13,3,1
31536.0,-595.0,0,0,0,1,31,12,4,1
37461.0,12877.0,0,0,0,1,31,12,4,1
110181.0,60300.0,1,0,0,0,38,12,5,1
24123.0,30.0,0,0,0,0,35,14,3,0
28782.0,-15565.0,0,0,0,1,35,13,5,1
36666.0,1500.0,0,0,0,1,42,18,3,1
72975.0,300.0,0,0,0,1,44,10,3,1
49656.0,-5250.0,0,0,0,0,48,12,3,1
36267.0,-10491.0,0,0,0,1,36,15,4,1
55374.0,1300.0,1,0,0,1,35,12,3,1
22833.0,0.0,0,0,0,0,28,12,3,0
69120.0,-2000.0,0,0,0,0,37,16,3,1
24465.0,1000.0,0,0,0,0,34,11,3,1
80862.0,454.0,0,0,0,1,46,17,5,1
33420.0,209.0,0,0,0,0,30,12,4,1
7440.0,1460.0,0,0,0,1,54,8,1,0
15141.0,-9600.0,0,0,0,1,47,12,2,1
20667.0,4572.0,1,0,0,0,34,12,4,1
30870.0,25699.0,0,0,0,1,52,13,3,1
16860.0,2924.0,0,0,0,0,27,12,1,0
16080.0,0.0,0,0,0,0,43,14,1,0
52998.0,26000.0,0,0,0,1,40,18,1,0
16830.0,740.0,0,0,0,0,28,13,1,0
37320.0,4000.0,0,0,0,1,63,8,2,1
53133.0,1799.0,0,0,0,0,54,18,3,1
28998.0,100.0,0,0,0,0,35,12,3,0
7740.0,4500.0,0,0,0,1,59,7,2,1
13755.0,-300.0,0,0,0,0,33,12,3,0
42315.0,200.0,0,0,0,1,30,14,2,1
20490.0,200.0,0,0,0,1,58,12,4,1
21177.0,-397.0,0,0,0,0,35,12,4,0
21735.0,0.0,0,0,0,0,35,12,4,1
12600.0,-9550.0,0,0,0,1,42,12,1,0
45519.0,130812.0,1,0,0,1,59,12,2,1
26958.0,49.0,0,0,0,0,48,13,3,1
50970.0,4600.0,0,0,0,1,32,15,2,1
39612.0,50.0,0,0,0,1,43,12,2,1
24012.0,-1951.0,0,0,0,0,31,13,2,1
28059.0,-2854.0,1,0,0,0,54,16,5,1
16200.0,0.0,0,0,0,0,27,12,1,0
14850.0,1800.0,0,0,0,1,45,12,2,0
20976.0,41499.0,0,0,0,1,58,13,1,0
16902.0,-3386.0,0,0,0,0,29,1,7,1
11877.0,-400.0,0,0,0,0,63,12,3,0
11103.0,-6397.0,0,0,0,0,43,14,4,0
39051.0,-1700.0,0,0,0,0,29,16,1,0
19968.0,-500.0,0,0,0,1,51,18,2,0
42744.0,-225.0,0,0,0,0,44,13,2,1
78396.0,8400.0,1,0,0,1,38,16,4,1
34803.0,-11635.0,0,0,0,1,37,11,5,1
10446.0,2750.0,0,0,0,1,44,12,5,1
34755.0,67600.0,0,0,0,1,44,1,4,1
15174.0,31.0,0,0,0,1,29,12,4,0
20421.0,-165.0,0,0,0,0,37,13,1,0
55110.0,28999.0,1,0,0,1,42,12,4,1
28050.0,500.0,0,0,0,1,38,12,4,1
12120.0,50.0,0,0,0,1,40,12,4,0
28080.0,0.0,0,0,0,1,31,12,3,1
42555.0,-101436.0,0,0,0,0,31,13,3,1
37509.0,3399.0,0,0,0,0,31,16,1,0
9042.0,0.0,0,0,0,0,35,12,1,0
57180.0,4210.0,0,0,0,1,42,18,4,1
11604.0,131.0,0,0,0,1,39,18,3,1
23400.0,-1804.0,0,0,0,0,27,5,3,1
20622.0,259.0,0,0,0,1,62,16,1,0
10836.0,599.0,0,0,0,1,27,14,3,0
12816.0,1490.0,0,0,0,1,38,10,4,1
43830.0,3450.0,1,0,0,1,33,15,3,1
22986.0,2225.0,1,0,0,1,60,12,2,1
37794.0,3000.0,1,0,0,0,60,13,2,1
4890.0,100.0,0,0,0,1,52,10,1,0
19545.0,294.0,0,0,0,1,61,12,3,1
19860.0,700.0,0,0,0,0,31,14,1,0
13206.0,52000.0,1,0,0,1,61,12,4,0
23250.0,89900.0,1,0,0,1,49,12,1,0
60615.0,1258.0,1,0,0,1,34,14,4,1
23529.0,4000.0,0,0,0,0,31,16,1,0
37704.0,3800.0,0,0,0,1,29,12,3,1
24612.0,8199.0,0,0,0,1,33,6,5,0
38550.0,-13600.0,1,0,0,0,33,14,3,1
128700.0,195000.0,1,0,0,1,44,17,4,1
12816.0,-450.0,0,0,0,0,31,12,4,0
37800.0,0.0,0,0,0,1,47,14,2,0
17880.0,-7451.0,0,0,0,0,40,12,3,0
19641.0,-7920.0,0,0,0,1,41,12,3,0
5103.0,0.0,0,0,0,0,36,12,2,0
12756.0,30.0,0,0,0,0,29,12,1,0
4845.0,0.0,0,0,0,0,33,12,3,0
31830.0,12192.0,1,0,0,1,27,15,3,1
23430.0,99.0,0,0,0,0,42,13,5,0
42114.0,900.0,0,0,0,0,36,15,6,1
11100.0,5000.0,0,0,0,0,32,1,5,1
5280.0,0.0,0,0,0,1,26,12,1,0
37569.0,-6301.0,0,0,0,0,39,12,4,1
43239.0,24900.0,1,0,0,1,45,12,1,0
71184.0,59061.0,1,0,0,1,63,12,2,1
59544.0,-350.0,0,0,0,1,31,16,4,1
4200.0,0.0,0,0,0,0,30,11,6,0
7668.0,0.0,0,0,0,1,46,8,2,0
7872.0,0.0,0,0,0,0,55,11,2,0
31896.0,-2100.0,0,0,0,1,38,15,5,1
14439.0,0.0,0,0,0,0,25,9,3,1
19713.0,3899.0,0,0,0,0,34,12,3,1
31254.0,28000.0,0,0,0,1,41,18,1,0
63525.0,62300.0,1,0,0,0,35,18,1,0
31800.0,-6600.0,0,0,0,1,43,12,3,0
24996.0,-451.0,0,0,0,1,60,10,4,1
36450.0,0.0,0,0,0,1,51,12,3,1
21072.0,2600.0,0,0,0,0,60,15,2,1
18012.0,200.0,0,0,0,1,49,12,2,0
12240.0,-600.0,0,0,0,0,42,12,3,1
31386.0,734.0,0,0,0,1,53,12,3,1
21645.0,-4850.0,0,0,0,0,34,14,2,0
17724.0,-633.0,0,0,0,1,56,13,3,1
37482.0,14800.0,1,0,0,1,53,12,3,1
27639.0,-3300.0,0,0,0,1,58,10,2,1
30720.0,360.0,0,0,0,1,26,16,1,0
18438.0,2549.0,0,0,0,0,38,11,6,1
19125.0,-800.0,0,0,0,0,38,12,7,1
13704.0,12000.0,1,0,0,1,35,12,6,1
34185.0,749.0,0,0,0,1,53,12,1,0
51660.0,-40300.0,0,0,0,1,28,18,1,0
1920.0,0.0,0,0,0,0,35,12,4,1
20424.0,-3650.0,0,0,0,1,37,11,4,1
21600.0,-400.0,0,0,0,0,34,13,3,1
56118.0,4700.0,1,0,0,1,36,16,1,0
20148.0,-425.0,0,0,0,0,28,12,5,1
16806.0,-1150.0,0,0,0,1,44,12,3,1
13317.0,-1093.0,0,0,0,1,31,15,4,1
20475.0,-100.0,0,0,0,0,31,17,1,1
8730.0,-3000.0,0,0,0,1,51,12,2,1
19500.0,-150.0,0,0,0,0,28,12,1,0
27858.0,-16000.0,0,0,0,1,54,6,4,1
41694.0,-1700.0,0,0,0,1,36,14,2,1
8850.0,0.0,0,0,0,0,40,12,1,0
7650.0,0.0,0,0,0,0,29,12,1,0
51450.0,7499.0,0,0,0,1,25,12,2,0
10542.0,-57200.0,0,0,0,1,47,12,2,1
15300.0,0.0,0,0,0,0,49,15,1,0
102171.0,86500.0,1,0,0,1,35,18,4,1
45231.0,-5100.0,0,0,0,1,40,13,3,0
13152.0,-2674.0,0,0,0,1,30,10,3,0
27813.0,37316.0,1,0,0,1,38,11,3,1
39123.0,6048.0,0,0,0,1,49,12,3,1
36150.0,-2200.0,0,0,0,1,32,12,4,1
39219.0,110.0,0,0,0,1,52,12,2,1
10800.0,-300.0,0,0,0,1,55,12,3,0
20235.0,20649.0,1,0,0,1,58,10,2,1
62703.0,-13300.0,0,0,0,1,38,12,5,1
23490.0,310.0,0,0,0,1,43,14,1,0
15888.0,-150.0,0,0,0,1,27,12,2,0
33729.0,-9001.0,0,0,0,0,25,18,1,0
55845.0,1875.0,0,0,0,1,29,12,2,1
19209.0,-650.0,0,0,0,1,40,15,2,0
23976.0,656.0,0,0,0,1,59,14,2,1
57156.0,-32887.0,0,0,0,1,35,12,4,1
13743.0,0.0,0,0,0,0,43,12,1,0
7470.0,-11900.0,0,0,0,0,39,12,1,0
77940.0,2550.0,0,0,0,1,36,15,4,1
16200.0,-69300.0,0,0,0,1,46,12,5,1
10404.0,3700.0,0,0,0,1,26,9,1,0
27240.0,0.0,0,0,0,0,54,16,5,0
35742.0,250.0,0,0,0,1,56,12,3,1
28272.0,3660.0,0,0,0,1,63,8,4,1
58272.0,39000.0,0,0,0,1,62,11,1,0
14307.0,-1246.0,0,0,0,0,42,12,6,1
66018.0,215750.0,0,0,0,1,41,16,3,0
6750.0,-40650.0,1,0,0,0,38,14,2,0
27000.0,130.0,0,0,0,1,42,13,1,0
21801.0,11800.0,1,0,0,1,55,12,3,0
36495.0,8000.0,0,0,0,0,45,12,3,0
172092.0,469400.0,1,0,0,1,61,12,2,1
6498.0,1599.0,0,0,0,0,64,13,1,0
24549.0,1225.0,0,0,0,0,35,14,1,0
82251.0,1006499.0,0,0,0,1,40,18,5,1
53796.0,-1000.0,0,0,0,0,32,17,5,1
7650.0,-148.0,0,0,0,1,60,6,1,0
38817.0,-3500.0,0,0,0,1,42,12,2,1
19284.0,2398.0,0,0,0,0,31,14,1,0
18675.0,-3500.0,0,0,0,1,41,14,2,0
91230.0,20840.0,1,0,0,1,48,12,3,1
21816.0,-1600.0,0,0,0,0,53,10,1,0
44799.0,97333.0,1,0,0,0,63,12,2,1
48060.0,4200.0,1,0,0,1,28,15,4,1
76077.0,43399.0,1,0,0,1,55,12,3,1
49845.0,5692.0,1,0,0,1,33,18,2,1
27708.0,4000.0,1,0,0,0,31,13,3,1
14670.0,25.0,0,0,0,0,29,12,1,0
34299.0,-334.0,0,0,0,1,43,18,2,0
4584.0,11658.0,1,0,0,1,38,12,3,0
19170.0,0.0,0,0,0,0,28,14,4,1
45762.0,16069.0,1,0,0,1,39,17,4,1
21435.0,18000.0,1,0,0,1,52,12,1,0
39312.0,250.0,0,0,0,1,57,16,1,0
19035.0,6807.0,0,0,0,1,32,12,4,1
6639.0,975.0,1,0,0,1,42,12,1,0
17004.0,-4960.0,0,0,0,0,27,13,3,0
118401.0,184500.0,1,0,0,1,36,16,4,1
68220.0,20600.0,1,0,0,1,61,12,2,1
16290.0,1500.0,0,0,0,0,33,12,1,0
29481.0,-2650.0,0,0,0,1,38,14,5,1
15144.0,10499.0,1,0,0,0,35,15,4,1
22050.0,9645.0,0,0,0,0,33,14,2,0
9600.0,5021.0,0,0,0,1,54,12,3,1
22362.0,1200.0,0,0,0,0,30,13,1,0
14241.0,-9000.0,0,0,0,0,40,14,5,0
39192.0,1940.0,1,0,0,1,53,10,2,1
37869.0,-9700.0,0,0,0,1,56,11,3,1
44388.0,-1840.0,0,0,0,1,33,12,5,1
52770.0,93521.0,1,0,0,1,54,14,5,1
21450.0,1000.0,0,0,0,1,35,12,5,1
9270.0,-160.0,0,0,0,0,36,12,4,0
28830.0,-1200.0,0,0,0,0,25,13,1,0
3636.0,0.0,0,0,0,0,61,9,1,0
22200.0,2399.0,0,0,0,1,50,12,1,0
39546.0,65897.0,1,0,0,1,56,12,1,0
37146.0,-3690.0,0,0,0,1,43,18,2,0
32559.0,42800.0,1,0,0,1,53,12,3,1
15372.0,1200.0,0,0,0,0,29,12,1,0
14484.0,-6569.0,0,0,0,1,25,11,4,1
57624.0,300.0,0,0,0,1,36,12,1,0
17793.0,15600.0,0,0,0,0,25,18,1,0
48168.0,4000.0,0,0,0,1,49,12,1,0
74970.0,1600.0,0,0,0,1,27,12,5,1
43605.0,33926.0,1,0,0,1,59,12,3,1
2400.0,0.0,0,0,0,0,45,12,3,1
28926.0,21550.0,1,0,0,1,61,16,5,1
31800.0,-250.0,0,0,0,0,41,12,1,0
31350.0,8550.0,1,0,0,0,59,12,1,0
43320.0,7500.0,0,0,0,1,60,12,4,1
52041.0,-6600.0,0,0,0,1,32,16,1,1
53514.0,-299750.0,0,0,0,1,42,10,4,1
16860.0,0.0,0,0,0,1,42,8,1,0
6006.0,0.0,0,0,0,0,28,10,2,0
33513.0,-5100.0,0,0,0,0,31,11,7,1
35325.0,4249.0,0,0,0,1,26,12,2,0
22440.0,-2225.0,0,0,0,1,60,12,2,1
13896.0,125.0,0,0,0,1,43,12,2,0
20583.0,-4300.0,0,0,0,0,43,16,4,0
39351.0,35900.0,1,0,0,0,33,18,1,0
12090.0,400.0,0,0,0,0,58,12,2,0
24804.0,46800.0,1,0,0,1,58,12,2,0
21630.0,635.0,1,0,0,0,25,16,1,0
28530.0,-8388.0,1,0,0,1,28,12,3,1
48336.0,4200.0,0,0,0,1,41,17,2,0
12588.0,0.0,0,0,0,0,31,12,6,1
30162.0,1200.0,0,0,0,0,27,8,5,1
19809.0,6200.0,0,0,0,0,49,12,3,0
14787.0,-2200.0,0,0,0,0,30,16,3,0
20430.0,500.0,0,0,0,0,49,13,1,0
11082.0,45.0,0,0,0,0,38,17,4,0
28284.0,26200.0,0,0,0,1,59,12,2,1
30315.0,-8500.0,0,0,0,1,31,13,4,1
35700.0,300.0,0,0,0,0,42,12,2,0
45270.0,1700.0,0,0,0,1,45,11,4,1
23412.0,100.0,0,0,0,1,48,12,6,1
12291.0,25.0,0,0,0,0,34,12,1,0
39432.0,-8000.0,0,0,0,1,47,12,5,1
49992.0,-2752.0,0,0,0,1,61,12,2,1
58122.0,-7100.0,0,0,0,0,31,16,2,1
25092.0,0.0,0,0,0,1,61,12,4,0
43203.0,86030.0,1,0,0,1,40,12,4,1
19200.0,0.0,0,0,0,0,32,14,1,0
29700.0,16699.0,0,0,0,0,26,16,1,1
104343.0,-14551.0,0,0,0,0,36,18,3,1
19764.0,1000.0,0,0,0,1,63,12,6,0
3840.0,-3570.0,0,0,0,1,49,14,2,1
81075.0,57500.0,1,0,0,1,35,14,3,1
33078.0,-300.0,0,0,0,0,39,16,1,0
65010.0,-16700.0,0,0,0,0,35,14,4,1
30639.0,1100.0,0,0,0,1,60,13,3,1
50937.0,3000.0,0,0,0,1,42,14,5,1
108258.0,28000.0,1,0,0,1,53,16,3,1
73110.0,7700.0,1,0,0,1,52,16,2,1
17127.0,-3605.0,0,0,0,1,31,12,2,1
79053.0,93501.0,1,0,0,1,48,12,2,1
17700.0,-400.0,0,0,0,1,38,12,1,0
12240.0,0.0,0,0,0,0,33,10,6,1
11118.0,16549.0,0,0,0,0,26,13,3,0
124932.0,120000.0,1,0,0,1,40,17,4,1
28209.0,82200.0,1,0,0,0,25,16,1,0
86820.0,48800.0,1,0,0,0,26,18,1,0
9612.0,0.0,0,0,0,0,49,12,2,0
8400.0,25.0,0,0,0,0,34,13,3,1
28146.0,-3300.0,0,0,0,1,31,12,5,1
8130.0,-7000.0,0,0,0,0,38,12,5,0
22722.0,300.0,0,0,0,0,30,16,1,0
7044.0,100.0,0,0,0,0,25,5,4,1
69555.0,-15141.0,0,0,0,1,49,18,4,1
13866.0,2258.0,0,0,0,0,32,12,2,0
5400.0,-150.0,0,0,0,1,54,12,2,0
35580.0,5649.0,1,0,0,1,45,12,3,1
21630.0,-1.0,0,0,0,0,35,11,5,0
17820.0,900.0,0,0,0,1,36,12,4,1
28980.0,20000.0,0,0,0,0,32,16,1,0
54900.0,137000.0,1,0,0,1,39,18,3,1
92277.0,21000.0,0,0,0,1,35,12,4,1
128550.0,346749.0,1,0,0,1,57,16,2,1
19050.0,1800.0,0,0,0,1,52,12,4,1
46053.0,-3000.0,0,0,0,1,34,12,4,1
19464.0,17000.0,0,0,0,1,35,12,4,0
36522.0,28057.0,1,0,0,1,39,14,2,1
25560.0,16500.0,0,0,0,0,31,16,3,1
29265.0,5500.0,0,0,0,1,39,10,3,1
15300.0,-1000.0,0,0,0,0,27,12,1,0
38100.0,10000.0,1,0,0,0,36,16,1,0
47109.0,21050.0,0,0,0,1,37,13,3,1
36000.0,0.0,0,0,0,0,32,18,5,1
32100.0,23700.0,1,0,0,1,39,16,1,0
49209.0,-151.0,0,0,0,0,40,12,1,0
20400.0,-3000.0,0,0,0,1,41,11,3,1
13896.0,0.0,0,0,0,0,40,8,7,1
8400.0,-400.0,0,0,0,0,30,12,2,0
101946.0,9199.0,0,0,0,1,49,12,6,1
13212.0,0.0,0,0,0,1,39,12,5,0
13821.0,50.0,0,0,0,1,36,14,2,0
43350.0,79700.0,1,0,0,1,57,12,2,1
51798.0,41999.0,0,0,0,1,38,14,2,0
19254.0,1000.0,0,0,0,1,29,14,3,0
9990.0,0.0,0,0,0,0,53,12,1,0
41712.0,46500.0,0,0,0,1,33,12,4,1
21450.0,-3100.0,0,0,0,1,28,14,3,1
67098.0,34112.0,1,0,0,1,57,18,1,0
19056.0,-200.0,0,0,0,0,31,12,5,1
44508.0,-4199.0,0,0,0,0,27,12,3,1
8406.0,200.0,0,0,0,1,38,13,3,1
10506.0,0.0,0,0,0,0,28,4,5,1
16527.0,2700.0,0,0,0,0,31,12,1,0
33780.0,-6501.0,0,0,0,1,47,13,5,1
103164.0,126098.0,1,0,0,1,52,18,6,1
67746.0,-5901.0,0,0,0,1,52,18,3,1
115584.0,-409000.0,0,0,0,1,40,14,2,1
20460.0,-4900.0,0,0,0,0,28,12,1,0
29700.0,1200.0,0,0,0,1,32,12,3,0
16092.0,2999.0,0,0,0,1,56,8,4,1
25371.0,-11950.0,0,0,0,1,43,12,1,0
35487.0,-2900.0,0,0,0,1,51,16,1,0
64791.0,-3970.0,0,0,0,0,45,14,4,1
25134.0,-1915.0,0,0,0,1,60,12,5,1
44616.0,0.0,0,0,0,1,54,11,3,1
29250.0,-12900.0,0,0,0,1,34,18,1,0
27840.0,0.0,0,0,0,0,40,12,2,0
3246.0,0.0,0,0,0,1,36,4,3,0
36153.0,-1334.0,0,0,0,1,31,14,5,1
38400.0,76850.0,1,0,0,1,50,12,2,1
14655.0,0.0,0,0,0,0,27,12,3,0
19200.0,5.0,0,0,0,0,33,13,1,0
77010.0,26000.0,1,0,0,1,36,16,4,1
80550.0,32000.0,1,0,0,0,45,13,3,1
56787.0,7900.0,0,0,0,1,34,16,3,1
85380.0,-30240.0,0,0,0,0,25,1,4,1
19986.0,-300.0,0,0,0,1,58,11,3,1
57975.0,-3900.0,0,0,0,1,26,16,1,0
28965.0,-800.0,0,0,0,1,27,12,5,1
9090.0,-1214.0,0,0,0,0,33,5,4,1
58974.0,2700.0,1,0,0,1,40,16,5,1
29622.0,10399.0,1,0,0,1,40,12,2,0
10200.0,0.0,0,0,0,0,48,13,1,0
23166.0,-5400.0,0,0,0,1,55,12,3,1
39207.0,2499.0,0,0,0,1,45,15,3,0
8190.0,-10500.0,0,0,0,1,57,12,2,1
31800.0,3600.0,0,0,0,1,31,16,4,1
32040.0,300.0,0,0,0,0,27,12,4,1
23562.0,3955.0,0,0,0,0,31,12,1,0
26553.0,-1340.0,0,0,0,1,37,12,2,0
56940.0,2499.0,1,0,0,1,56,18,1,0
28845.0,700.0,0,0,0,0,27,12,2,0
20403.0,-6920.0,0,0,0,0,37,6,1,0
23832.0,70335.0,0,0,0,1,54,13,3,1
20418.0,-959.0,0,0,0,0,31,12,4,1
10980.0,5020.0,0,0,0,1,43,12,3,0
20430.0,500.0,0,0,0,1,45,12,4,0
28800.0,0.0,0,0,0,1,46,12,2,0
42738.0,1024.0,0,0,0,1,26,15,3,1
11091.0,19.0,0,0,0,0,34,10,4,0
