A,Y,W,Z,X_year,X_afam,X_density,law_binary
256,2.33214389523559,5.136974216139274,9.484015047299877,1986,3.72806,0.0291456,0.0
268,2.1400661634962708,4.937347498326424,9.493261880905472,1987,3.784642,0.0302807,0.0
307,2.2512917986064953,4.927253685157205,9.495548637088197,1988,3.844388,0.0311448,0.0
328,2.0412203288596382,4.941642422609304,9.495902699354984,1989,3.903289,0.0319112,0.0
350,2.163323025660538,5.0869788606835895,9.481571364417338,1990,3.964251,0.0323741,0.0
375,2.174751721484161,5.116195789756748,9.46028552990083,1991,4.026213,0.0331074,0.0
396,2.2082744135228043,5.03760174232607,9.462965829371619,1992,4.067532,0.0340308,0.0
409,2.2617630984737906,5.099256485749784,9.466832041850214,1993,4.107062,0.0351401,0.0
430,2.4423470353692043,5.093750200806762,9.494701686810561,1994,4.16112,0.0364967,0.0
459,2.4336133554004498,5.163642463221435,9.510121949299789,1995,4.210515,0.0378989,1.0
473,2.2512917986064953,5.128714582161857,9.526900675327536,1996,4.258865,0.0390024,1.0
479,2.2192034840549946,5.116195789756748,9.557284726916738,1997,4.313578,0.0400574,1.0
484,2.2082744135228043,5.113191882421348,9.598744770294331,1998,4.317078,0.04107,1.0
507,2.1972245773362196,5.033700567027251,9.619428907535115,1999,4.343524,0.0420472,1.0
115,2.2823823856765264,4.4331949212482815,9.140184073970985,1977,5.325915,0.0425259,0.0
111,2.312535423847214,4.394449154672439,9.205001344701259,1978,5.294712,0.0431827,0.0
115,2.312535423847214,4.3254562831854875,9.182530846856901,1979,5.256688,0.0437258,0.0
132,2.322387720290225,4.405498990859024,9.123962321665594,1980,5.301,0.0439483,0.0
128,2.312535423847214,4.361823927356363,9.147096372583663,1981,5.363085,0.0440339,0.0
143,2.2192034840549946,4.379523504455763,9.131239046063762,1982,5.396681,0.0440543,0.0
166,2.151762203259462,4.252771798816619,9.156623089470195,1983,5.412156,0.044275,0.0
179,2.1400661634962708,4.22829253473184,9.223063093823235,1984,5.429969,0.0445442,0.0
188,2.186051276738094,4.241326752570746,9.25258151902296,1985,5.448844,0.0446838,0.0
195,2.2082744135228043,4.390738575275903,9.274929829316484,1986,5.453926,0.0447788,0.0
198,2.151762203259462,4.383275854074314,9.276724376660948,1987,5.468931,0.0449779,0.0
227,2.272125885509337,4.443827035579329,9.302050442794227,1988,5.485952,0.0449833,0.0
230,2.2407096892759584,4.71492104994721,9.314055134124319,1989,5.507787,0.0450552,0.0
261,2.424802725718295,4.73795129722191,9.310806328799947,1990,5.545241,0.0452106,0.0
277,2.4932054526026954,4.91705694713669,9.319410897030382,1991,5.603151,0.0455241,0.0
317,2.468099531471619,4.840242308167575,9.36415528115307,1992,5.660378,0.045974,0.0
340,2.4159137783010487,4.835487941050301,9.36824627782235,1993,5.731631,0.0465433,0.0
327,2.5649493574615367,4.865224091322398,9.386727689281946,1994,5.748989,0.0470591,0.0
345,2.4336133554004498,4.841822087327094,9.403443597134814,1995,5.777742,0.0476259,0.0
361,2.302585092994046,4.74493212836325,9.421141670070371,1996,5.83566,0.048101,1.0
357,2.388762789235098,4.722953221644475,9.438478628954874,1997,5.884809,0.0484687,1.0
392,2.186051276738094,4.576770711466393,9.471813470242237,1998,5.917338,0.0487413,1.0
415,1.8870696490323797,4.385769620952716,9.495243336281815,1999,5.961927,0.0489942,1.0
85,2.5257286443082556,5.662960480135946,9.553226282662271,1977,5.011663,0.1429538,0.0
80,2.5416019934645457,5.727173427446777,9.595419082427403,1978,5.16054,0.1460464,0.0
88,2.6390573296152584,5.81353333861532,9.607888221139198,1979,5.299742,0.1487384,0.0
93,2.740840023925201,5.953762679923971,9.584937941821291,1980,5.594304,0.1522774,0.0
98,2.6390573296152584,5.96409335031185,9.580087106573135,1981,5.764122,0.1553813,0.0
114,2.501435951739211,5.921846480227112,9.562107190750314,1982,5.955957,0.1587982,0.0
135,2.4423470353692043,5.834518296645255,9.581352052014967,1983,6.108492,0.1622533,0.0
150,2.451005098112319,5.794536837924666,9.633972129375097,1984,6.266548,0.1653522,0.0
162,2.4423470353692043,5.795145480670174,9.658783867916426,1985,6.419227,0.1691701,0.0
181,2.509599262378372,5.84035091743822,9.681895921370648,1986,6.571936,0.1734,0.0
212,2.451005098112319,5.711419901785413,9.701072670197352,1987,6.712571,0.177718,0.0
231,2.4336133554004498,5.726196069493101,9.717118816951487,1988,6.850673,0.1821141,0.0
257,2.4765384001174837,5.807541708947054,9.721683261936946,1989,6.997949,0.1869376,0.0
283,2.5572273113676265,5.934894195619588,9.721990855451846,1990,7.156204,0.1920211,0.0
311,2.617395832834079,6.021751239712854,9.686608090782759,1991,7.26585,0.194996,0.0
318,2.617395832834079,6.052324435364745,9.688660572473795,1992,7.394206,0.1979568,0.0
339,2.6461747973841225,6.006599434692252,9.66761963879852,1993,7.525185,0.1996962,0.0
368,2.5494451709255714,5.879974171074619,9.666172812568131,1994,7.618953,0.2007859,0.0
384,2.501435951739211,5.8057371971791945,9.68167935923441,1995,7.714913,0.2019165,0.0
416,2.312535423847214,5.692384429703832,9.69483228729032,1996,7.803103,0.2037585,0.0
446,2.1972245773362196,5.535363823031238,9.717626539249746,1997,7.907242,0.2065595,0.0
475,2.028148247292285,5.354697699984144,9.756743542153716,1998,8.000757,0.2095414,0.0
483,1.9459101490553132,5.2045559867335625,9.790032699270283,1999,8.08967,0.2125055,0.0
87,1.9878743481543455,5.14574876790343,9.428764805750415,1977,2.026637,0.0259829,0.0
89,2.1162555148025524,5.076423034634259,9.47643536093644,1978,2.081794,0.0266633,0.0
93,1.916922612182061,5.062595033026967,9.485446953354929,1979,2.115095,0.0274583,0.0
90,2.066862759472976,5.082025290182929,9.478004413934181,1980,2.207162,0.0280786,0.0
96,2.2082744135228043,5.07829394257007,9.496086070866179,1981,2.254344,0.0287455,0.0
92,1.9459101490553132,5.021245473208271,9.50003841100114,1982,2.313977,0.0295533,0.0
108,2.0014800002101243,4.847331743138063,9.51569044208137,1983,2.368948,0.0302488,0.0
109,1.916922612182061,4.74493212836325,9.557272710485327,1984,2.424206,0.0305998,0.0
104,1.916922612182061,4.829912458665998,9.566350494970436,1985,2.491744,0.0309737,0.0
103,2.0794415416798357,4.982235819574558,9.570651198077238,1986,2.547748,0.031251,0.0
115,1.916922612182061,4.785823685681349,9.574893898217931,1987,2.599251,0.0314733,0.0
145,1.9021075263969205,4.603168183317418,9.585687795030227,1988,2.643703,0.0314907,0.0
174,1.6863989535702288,4.51085950651685,9.608783550608697,1989,2.698713,0.0316214,0.0
207,1.6486586255873816,4.517431271680085,9.616784334183652,1990,2.750993,0.0318506,0.0
209,1.9315214116032138,4.685828089005546,9.614270969992395,1991,2.798311,0.0324647,0.0
249,1.9740810260220096,4.799914262780603,9.630915414554204,1992,2.829628,0.0333558,0.0
256,1.916922612182061,4.768139014266231,9.649975640126016,1993,2.879706,0.0343284,0.0
262,1.8562979903656263,4.681204872264089,9.66723723155294,1994,2.920543,0.0352252,0.0
289,1.916922612182061,4.576770711466393,9.696630035881123,1995,2.947571,0.0360365,0.0
292,1.7404661748405046,4.597138014290827,9.720626650321577,1996,2.973025,0.0367562,0.0
322,1.6094379124341003,4.4343818650078095,9.761841611549588,1997,3.003526,0.0375137,0.0
342,1.7227665977411035,4.412798293340635,9.811537820098533,1998,3.058428,0.0382625,0.0
357,1.7227665977411035,4.334672938290411,9.844678188392104,1999,3.094968,0.0391028,0.0
62,1.6486586255873816,4.871373226762748,9.569658918516327,1977,2.625869,0.6346611,0.0
53,1.6486586255873816,5.048573133436648,9.605967916206078,1978,2.68661,0.635876,0.0
70,1.6486586255873816,5.269403356383394,9.619346536470694,1979,2.759993,0.6367573,0.0
69,1.7404661748405046,5.389071729816501,9.618451975025252,1980,2.878027,0.638993,0.0
68,1.8562979903656263,5.509793112994564,9.628855951028582,1981,2.987402,0.6422083,0.0
95,1.824549292051046,5.344723739362192,9.640881758902816,1982,3.083773,0.6442964,0.0
114,1.62924053973028,5.306285536197214,9.667765219015058,1983,3.172015,0.6490852,0.0
114,1.589235205116581,5.2548878086207,9.732712280106538,1984,3.261486,0.6527141,0.0
119,1.5686159179138452,5.25227342804663,9.762818749086737,1985,3.348601,0.657046,0.0
127,1.7227665977411035,5.263725921778417,9.810030354899473,1986,3.435485,0.6616866,0.0
135,1.7749523509116738,5.187944309066666,9.862817109031438,1987,3.523706,0.6665211,0.0
144,1.8562979903656263,5.239628370199357,9.914174740556232,1988,3.617498,0.6715842,0.0
146,1.9315214116032138,5.374352052824034,9.938661144824994,1989,3.704991,0.6739345,0.0
194,1.8082887711792655,5.462983988103271,9.922006513147398,1990,3.790024,0.6788557,0.0
238,1.9021075263969205,5.417876601605676,9.885214105447696,1991,3.877986,0.6787698,0.0
263,1.8082887711792655,5.356114465274254,9.919943901006626,1992,3.949469,0.675954,0.0
268,1.9878743481543455,5.286750730176571,9.923132324236514,1993,4.025792,0.6754025,0.0
320,2.028148247292285,5.240688253711401,9.929082197197609,1994,4.081422,0.6745812,0.0
321,1.7227665977411035,5.101085197018328,9.947233587879204,1995,4.132952,0.6739511,0.0
318,1.7578579175523736,5.139321635057579,9.964381314601665,1996,4.208807,0.6743096,0.0
314,1.5686159179138452,5.0363030408448335,10.004255538655412,1997,4.299477,0.6746159,0.0
397,1.62924053973028,4.9037921984782065,10.049061701700168,1998,4.391971,0.6754516,0.0
372,1.4586150226995167,4.824305715904762,10.07102156047923,1999,4.480762,0.6774058,0.0
118,1.9459101490553132,5.062595033026967,9.473471265585369,1977,5.74693,0.2986019,0.0
120,2.0412203288596382,4.987025428457122,9.490274002636852,1978,5.840172,0.3000893,0.0
173,1.9021075263969205,4.870606649492553,9.480537723709563,1979,5.939507,0.3001927,0.0
181,2.066862759472976,4.927253685157205,9.477449515525665,1980,6.039646,0.3079291,0.0
183,2.0412203288596382,4.956531035103055,9.47376638028645,1981,6.12362,0.3084736,0.0
208,1.840549633397487,4.8154311114712876,9.483055496366063,1982,6.171387,0.3101118,0.0
250,1.62924053973028,4.7561730595246186,9.512664721164834,1983,6.215406,0.3133618,0.0
273,1.62924053973028,4.762173934797756,9.561668848997858,1984,6.255918,0.3165202,0.0
263,1.7578579175523736,4.8307108619020225,9.607024372090317,1985,6.296459,0.3200228,0.0
281,1.7749523509116738,4.829912458665998,9.632658008480787,1986,6.34046,0.3248225,0.0
311,1.8082887711792655,4.816241156068032,9.663213101680494,1987,6.404671,0.3296879,0.0
326,1.824549292051046,4.785823685681349,9.696567928682233,1988,6.478223,0.3351889,0.0
331,1.8082887711792655,4.94021282979971,9.729597748396333,1989,6.554518,0.3407003,0.0
333,1.791759469228055,5.110782242701195,9.710365681755668,1990,6.6351,0.3422317,0.0
323,1.8562979903656263,5.373888553395111,9.70094288005314,1991,6.794319,0.3480793,0.0
344,1.7227665977411035,5.025195445427586,9.704898799438277,1992,6.956813,0.353022,0.0
390,1.791759469228055,5.234844943592463,9.705953875925571,1993,7.09718,0.3577877,0.0
394,1.7404661748405046,5.0912931971137105,9.710215861251875,1994,7.244331,0.3623611,0.0
400,1.5040773967762742,5.296816240421769,9.717562109538475,1995,7.419685,0.367399,0.0
413,1.667706820558076,5.19794439240125,9.736097957050045,1996,7.576778,0.371913,0.0
428,1.252762968495368,5.195730777772936,9.742188466961432,1997,7.754169,0.3759713,0.0
443,1.33500106673234,5.274024673978992,9.790006375602868,1998,7.950773,0.3805964,0.0
429,1.4350845252893227,5.292802185859927,9.817940557361338,1999,8.134692,0.3854414,0.0
334,3.3603753871419,6.872646101868569,9.677282444436011,1977,25.80589,11.10212,0.0
330,3.367295829986474,6.8465179695109475,9.678187928566842,1978,25.82674,10.90248,0.0
383,3.3463891451671604,6.962148762812469,9.652072476333247,1979,25.86125,10.65598,0.0
433,3.481240089335692,7.2453697201821265,9.611028756349679,1980,25.68026,10.13149,0.0
426,3.586292865338835,7.400070639989031,9.604399343393238,1981,25.58024,10.10943,0.0
467,3.456316680883235,7.278628942320682,9.634284355790875,1982,25.38574,10.06621,0.0
531,3.414442608412176,7.120120957124469,9.650722071987907,1983,25.07103,10.03871,0.0
558,3.370738174177447,6.885509670034818,9.706549493223145,1984,24.8133,10.05368,0.0
649,3.1986731175506815,6.729226520426879,9.731090583689738,1985,24.52111,10.07211,0.0
738,3.4657359027997265,6.626717749249025,9.75841958306378,1986,24.27641,10.1314,0.0
753,3.616308761279101,6.57702651698799,9.784767640648232,1987,24.04692,10.11006,0.0
905,4.102643365036796,6.822959627277421,9.846678019006836,1988,23.84928,10.00683,0.0
1078,4.289088639014612,6.988505428667246,9.879334706745444,1989,23.58799,9.907381,0.0
1132,4.366912996863833,7.102087748442227,9.917921381828718,1990,23.41714,9.89859,0.0
1148,4.401829261970061,7.103815361886605,9.929092431811512,1991,23.34388,9.725229,0.0
1221,4.333361462692601,7.144722836889416,9.966942518089322,1992,23.30794,9.576771,0.0
1287,4.375757021660286,7.11525713430639,9.990498846192422,1993,22.92985,9.448492,0.0
1549,4.2626798770413155,7.010492356433249,9.998993167787157,1994,22.56992,9.262,0.0
1782,4.189654742026425,7.122866658599083,9.981023891119904,1995,22.26011,9.037263,0.0
1650,4.3054155323020415,7.079773942780195,9.991756638278419,1996,21.94686,8.824147,0.0
1611,4.05871738457895,6.747469149048794,10.020130827801223,1997,21.79755,8.668065,0.0
1682,3.9259259105971376,6.537415972849347,10.038601317548851,1998,21.84068,8.547967,0.0
1913,3.858622228701031,6.469715324941794,10.060522924777391,1999,21.66975,8.508196,0.0
211,2.4159137783010487,5.241217774507464,9.35231204501028,1977,5.08674,0.1637305,0.0
221,2.4849066497880004,5.332718793265369,9.40131521420299,1978,5.038732,0.1682757,0.0
239,2.580216829592325,5.523059639225943,9.40779599553818,1979,5.018184,0.1742681,0.0
220,2.740840023925201,5.8763342398543505,9.405104201660025,1980,5.078043,0.1817043,0.0
208,2.772588722239781,5.857647399373643,9.414971215689972,1981,5.139825,0.1882218,0.0
224,2.6741486494265287,5.69910488510509,9.406503194958619,1982,5.180603,0.1933671,0.0
261,2.501435951739211,5.577463107977531,9.444463427333401,1983,5.210392,0.1985088,0.0
235,2.5257286443082556,5.624739267315748,9.488023622399117,1984,5.222791,0.2038653,0.0
242,2.517696472610991,5.74748032992192,9.519135242487243,1985,5.236619,0.2096121,0.0
247,2.5416019934645457,5.907539312170221,9.54827653653182,1986,5.24706,0.2154544,0.0
272,2.517696472610991,5.8794150432993595,9.574771657574573,1987,5.271782,0.2215443,0.0
265,2.517696472610991,6.002157176646725,9.603348884505223,1988,5.288664,0.2272523,1.0
278,2.4932054526026954,6.003887067106539,9.63522437363343,1989,5.319287,0.2333704,1.0
307,2.4595888418037104,6.035002849122465,9.624468514079473,1990,5.353076,0.2410942,1.0
336,2.341805806147327,5.993462549770655,9.59961918596589,1991,5.456843,0.2461155,1.0
344,2.302585092994046,5.907811162110729,9.593581002474767,1992,5.591074,0.2501023,1.0
355,2.2925347571405443,5.8822075611710325,9.610406263846896,1993,5.693723,0.2539695,1.0
384,2.2300144001592104,5.7984864101254985,9.616703743191884,1994,5.809861,0.2585662,1.0
406,2.1162555148025524,5.706777983635999,9.64068344135025,1995,5.931224,0.2627072,1.0
447,2.1400661634962708,5.670570340450087,9.657085609644717,1996,6.044211,0.2671799,1.0
439,2.066862759472976,5.624378451868933,9.67870140289564,1997,6.174477,0.271929,1.0
437,2.0149030205422647,5.495937960631161,9.708435708388102,1998,6.283623,0.2760937,1.0
447,1.9021075263969205,5.359412465907847,9.71800340000416,1999,6.394272,0.2798534,1.0
225,2.5416019934645457,4.952299717083292,9.23291562258572,1977,8.995614,0.0898817,0.0
224,2.7343675094195836,5.119788607992779,9.276145902618113,1978,9.080371,0.0911913,0.0
216,2.89591193827178,5.369241704884735,9.268192212007277,1979,9.193938,0.0930103,0.0
224,2.6946271807700692,5.291292751611072,9.234649496410224,1980,9.368551,0.094498,0.0
219,2.9014215940827497,5.285232126999381,9.243945346343828,1981,9.516834,0.0959133,0.0
220,2.6100697927420065,5.047288611744291,9.247321078186117,1982,9.618777,0.0973163,0.0
247,2.2407096892759584,4.978112102390695,9.291920358968605,1983,9.689654,0.0986677,0.0
259,2.341805806147327,4.977423159890142,9.366182762910094,1984,9.735667,0.1005057,0.0
254,2.4336133554004498,5.107156861086878,9.406845859536494,1985,9.769167,0.1027055,0.0
251,2.501435951739211,5.370172803648464,9.450766515217945,1986,9.778049,0.1048067,0.0
265,2.5494451709255714,5.348059458442851,9.472561549284118,1987,9.782475,0.1069393,0.0
282,2.5416019934645457,5.499624223253072,9.500663204549653,1988,9.798496,0.1087941,0.0
281,2.617395832834079,5.6061696457892,9.509986340756242,1989,9.818057,0.1104293,0.0
300,2.5494451709255714,5.577841251298354,9.511730064257826,1990,9.871989,0.1123385,1.0
327,2.624668592163159,5.595454597770573,9.500788116428971,1991,10.00728,0.1143196,1.0
342,2.4849066497880004,5.524655808758766,9.527151299886702,1992,10.13363,0.1167056,1.0
365,2.517696472610991,5.517452896464707,9.537474861505048,1993,10.25108,0.1190299,1.0
387,2.3978952727983707,5.409858741280944,9.56291371584184,1994,10.39586,0.1216509,1.0
456,2.3513752571634776,5.32884657158286,9.58461886033315,1995,10.52201,0.1241136,1.0
470,2.2617630984737906,5.329816033607408,9.614345080887032,1996,10.65336,0.1265945,1.0
462,2.1400661634962708,5.336094730882067,9.63194585395382,1997,10.80586,0.1292511,1.0
472,2.2082744135228043,5.23750522715128,9.678817837225871,1998,10.94355,0.1318483,1.0
502,2.1400661634962708,5.120386158055375,9.70141726699344,1999,11.10859,0.1344678,1.0
39,2.1041341542702074,4.859812404361672,9.527939920202543,1977,26.65354,0.1429194,0.0
44,2.0412203288596382,5.162497643405501,9.545321497443512,1978,26.78969,0.1449939,0.0
57,2.1041341542702074,5.22305488204749,9.545307190309403,1979,26.94793,0.1483743,0.0
58,2.272125885509337,5.2533200006173,9.54101081066956,1980,26.97957,0.1506163,0.0
65,1.7578579175523736,5.006627272698717,9.509826995745424,1981,25.1352,0.152245,0.0
77,1.410986973710262,5.061961921261596,9.498646749508985,1982,25.15592,0.1546773,0.0
88,1.8870696490323797,4.875197323201151,9.53827627757511,1983,25.01153,0.1576213,0.0
103,1.4586150226995167,4.761318868478023,9.5681273973231,1984,24.82482,0.1599899,0.0
124,1.62924053973028,4.609162207257629,9.584157937943631,1985,24.72177,0.1618184,0.0
134,1.7578579175523736,4.675628649636653,9.610242032771392,1986,24.64585,0.1636979,0.0
142,1.7578579175523736,4.59511985013459,9.632582620173608,1987,24.64091,0.1662118,0.0
141,1.6094379124341003,4.443827035579329,9.674528373191858,1988,24.6308,0.1680658,0.0
136,1.7578579175523736,4.4331949212482815,9.710789546113293,1989,24.63831,0.1703633,0.0
142,1.6094379124341003,4.526126978647638,9.74466413914061,1990,24.85353,0.1732373,0.0
150,1.6094379124341003,4.476199804691132,9.736683572957714,1991,24.66962,0.1761501,0.0
153,1.5260563034950492,4.607168188650764,9.752790817634386,1992,24.46166,0.1790325,0.0
164,1.5686159179138452,4.650143551630823,9.755214316646725,1993,24.25993,0.1808357,0.0
198,1.6486586255873816,4.650143551630823,9.742503914463333,1994,24.07439,0.1827655,0.0
202,1.7404661748405046,4.881285622068407,9.725134510759345,1995,23.95598,0.1837911,0.0
217,1.4816045409242156,4.91705694713669,9.698658389286319,1996,23.9511,0.1844051,0.0
249,1.6094379124341003,4.7808027546312495,9.699020381795187,1997,24.03664,0.1851661,0.0
288,1.0986122886681098,4.641502115235482,9.701019409298828,1998,24.09624,0.1853452,0.0
307,1.547562508716013,4.489759334476764,9.709036530298935,1999,24.16387,0.1845706,0.0
82,1.8718021769015913,3.703768066607687,9.278320464108551,1977,0.7693518,0.0106858,0.0
87,1.8562979903656263,3.713572066704308,9.322277911517041,1978,0.7953302,0.011015,0.0
91,1.8562979903656263,3.7909846770510898,9.2902202971706,1979,0.8045025,0.0112804,0.0
92,1.410986973710262,3.86702563949741,9.264981007760296,1980,0.8417872,0.011503,0.0
87,1.7047480922384253,3.655839600035736,9.240760938714347,1981,0.8455596,0.0116755,0.0
99,1.252762968495368,3.4436180975461075,9.203302766018279,1982,0.8571174,0.0118154,0.0
107,1.5040773967762742,3.342861804649192,9.241451367001236,1983,0.8737516,0.011914,0.0
121,1.4816045409242156,3.2347491740244907,9.270133589448259,1984,0.894089,0.012023,0.0
127,1.1631508098056809,3.3250360206965914,9.286015401368383,1985,0.9220901,0.0120619,0.0
133,1.4350845252893227,3.104586678466073,9.294673248316897,1986,0.9490763,0.0120156,0.0
144,1.410986973710262,3.2268439945173775,9.311167125649465,1987,0.9795899,0.0119522,0.0
144,1.5260563034950492,3.054001181677967,9.34210695824566,1988,1.013626,0.0119603,0.0
157,1.2809338454620642,2.772588722239781,9.383268784326454,1989,1.052668,0.0120665,0.0
180,1.308332819650179,2.772588722239781,9.400207555456905,1990,1.085008,0.012228,0.0
190,1.0296194171811581,3.077312260546414,9.379200056331912,1991,1.103555,0.0125547,1.0
205,1.5040773967762742,3.1135153092103742,9.412346902086535,1992,1.128468,0.0128879,1.0
209,1.3609765531356006,2.884800712846709,9.43992394178415,1993,1.165088,0.0133074,1.0
234,1.5040773967762742,2.9652730660692823,9.446637830081398,1994,1.162437,0.0137214,1.0
245,1.62924053973028,3.2188758248682006,9.460244250343589,1995,1.186352,0.0140784,1.0
283,1.5260563034950492,3.0587070727153796,9.46693107841026,1996,1.186826,0.0143528,1.0
319,1.4350845252893227,3.0252910757955354,9.468138844445344,1997,1.210849,0.0146299,1.0
323,1.3609765531356006,3.1135153092103742,9.502662164262025,1998,1.241914,0.014875,1.0
330,1.0986122886681098,2.9338568698359038,9.523533746191125,1999,1.250619,0.0151261,1.0
87,2.388762789235098,5.6394217154958115,9.531404511194722,1977,5.314545,0.2042462,0.0
95,2.388762789235098,5.6832395734248715,9.559324013534459,1978,5.416671,0.204717,0.0
96,2.4595888418037104,5.774862056337153,9.550690792995047,1979,5.51595,0.2044349,0.0
95,2.451005098112319,5.908082938168931,9.502494181292864,1980,5.659422,0.2054938,0.0
94,2.4423470353692043,5.92479041383999,9.505022884072709,1981,5.717615,0.2056512,0.0
113,2.2823823856765264,5.851627601920183,9.48650664136234,1982,5.786729,0.2052909,0.0
119,2.3702437414678603,5.768008446955473,9.494767151707292,1983,5.830409,0.2050287,0.0
135,2.302585092994046,5.7196558238124915,9.552584490620614,1984,5.887696,0.2050883,0.0
149,2.1972245773362196,5.663307642090483,9.572300027196992,1985,5.935356,0.2048666,0.0
161,2.2925347571405443,5.787817203599275,9.602595950474953,1986,5.984066,0.2046412,0.0
168,2.2300144001592104,5.7535245665510155,9.626643205865022,1987,6.044029,0.2047116,0.0
171,2.2617630984737906,5.748437115196633,9.651504615138501,1988,6.104655,0.2046936,0.0
181,2.302585092994046,5.819192326167029,9.665680769577996,1989,6.170642,0.205046,0.0
