A,Y,W,W2,Z,X_crop,X_ea
25.0,3.8918202981106265,11.0,11.6,0.8348623853211009,3,3
25.0,3.258096538021482,12.0,13.0,0.8348623853211009,3,3
50.0,1.0986122886681098,12.0,9.3,0.8348623853211009,1,3
50.0,1.0986122886681098,12.0,9.3,0.8348623853211009,1,3
50.0,3.258096538021482,12.0,8.5,0.8348623853211009,1,3
50.0,3.258096538021482,12.0,8.5,0.8348623853211009,1,3
50.0,3.58351893845611,14.0,3.6,0.8348623853211009,3,3
50.0,3.58351893845611,13.0,4.6,0.8348623853211009,3,3
0.0,1.6094379124341003,14.0,5.4,0.8348623853211009,1,3
0.0,1.6094379124341003,14.0,5.4,0.8348623853211009,1,3
0.0,3.044522437723423,13.0,3.4,0.8348623853211009,1,3
0.0,2.3978952727983707,13.0,3.8,0.8348623853211009,1,3
0.0,3.258096538021482,12.0,14.0,0.8348623853211009,3,3
0.0,3.258096538021482,13.0,10.9,0.8348623853211009,3,3
0.0,0.6931471805599453,11.0,26.2,0.8348623853211009,1,3
33.0,3.044522437723423,11.0,27.7,0.8348623853211009,1,3
50.0,1.0986122886681098,11.0,26.9,0.8348623853211009,1,3
50.0,1.0986122886681098,11.0,26.9,0.8348623853211009,1,3
25.0,1.6094379124341003,12.0,6.1,0.8348623853211009,1,3
33.0,1.6094379124341003,12.0,6.1,0.8348623853211009,1,3
25.0,2.833213344056216,12.0,4.1,0.8348623853211009,1,3
33.0,1.0986122886681098,15.0,5.7,0.8348623853211009,3,3
25.0,4.51085950651685,12.0,18.7,0.8348623853211009,3,3
33.0,3.4965075614664802,11.0,37.7,0.8348623853211009,3,3
25.0,2.3978952727983707,12.0,9.3,0.8348623853211009,1,3
33.0,3.4965075614664802,12.0,6.6,0.8348623853211009,1,3
33.0,3.4965075614664802,12.0,6.6,0.8348623853211009,1,3
0.0,3.4965075614664802,13.0,5.5,0.8348623853211009,3,3
33.0,4.574710978503383,12.0,9.0,0.8348623853211009,1,3
33.0,4.574710978503383,12.0,9.0,0.8348623853211009,1,3
33.0,2.833213344056216,11.0,10.0,0.8348623853211009,1,3
33.0,2.833213344056216,11.0,10.0,0.8348623853211009,1,3
33.0,0.6931471805599453,11.0,11.5,0.8348623853211009,1,3
33.0,0.6931471805599453,11.0,11.5,0.8348623853211009,1,3
33.0,1.3862943611198906,12.0,11.8,0.8348623853211009,1,3
33.0,3.4965075614664802,11.0,32.9,0.8348623853211009,3,3
50.0,1.3862943611198906,11.0,24.2,0.8348623853211009,3,3
33.0,1.791759469228055,12.0,13.9,0.8348623853211009,1,3
25.0,3.5263605246161616,12.0,15.7,0.8348623853211009,3,3
25.0,0.6931471805599453,12.0,7.9,0.8348623853211009,3,3
25.0,1.6094379124341003,13.0,37.7,0.8348623853211009,1,3
50.0,1.6094379124341003,13.0,37.7,0.8348623853211009,1,3
25.0,0.6931471805599453,12.0,41.6,0.8348623853211009,1,3
25.0,0.6931471805599453,12.0,41.6,0.8348623853211009,1,3
33.0,0.6931471805599453,11.0,17.5,0.8348623853211009,3,3
33.0,0.6931471805599453,12.0,37.6,0.8348623853211009,3,3
33.0,1.9459101490553132,14.0,3.0,0.8823529411764706,2,4
25.0,3.4339872044851463,13.0,3.8,0.8823529411764706,1,4
33.0,1.0986122886681098,13.0,6.8,0.8823529411764706,2,4
33.0,1.0986122886681098,13.0,6.8,0.8823529411764706,2,4
33.0,1.6094379124341003,13.0,6.8,0.8823529411764706,2,4
33.0,1.791759469228055,11.0,26.3,0.8823529411764706,2,4
25.0,3.044522437723423,12.0,8.7,0.8823529411764706,1,4
33.0,1.0986122886681098,12.0,9.1,0.8823529411764706,2,4
25.0,2.3978952727983707,12.0,8.1,0.8823529411764706,1,4
33.0,1.0986122886681098,12.0,8.3,0.8823529411764706,2,4
33.0,1.3862943611198906,12.0,8.4,0.8823529411764706,2,4
33.0,1.0986122886681098,12.0,4.2,0.8823529411764706,2,4
50.0,2.772588722239781,12.0,7.4,0.8823529411764706,1,4
33.0,1.6094379124341003,13.0,5.2,0.8823529411764706,2,4
33.0,1.3862943611198906,12.0,8.5,0.8823529411764706,2,4
33.0,1.0986122886681098,12.0,8.5,0.8823529411764706,2,4
33.0,0.6931471805599453,12.0,6.7,0.8823529411764706,1,4
33.0,1.6094379124341003,13.0,4.6,0.8823529411764706,2,4
25.0,2.3978952727983707,12.0,5.8,0.8823529411764706,1,4
25.0,1.3862943611198906,12.0,5.6,0.8823529411764706,2,4
33.0,0.6931471805599453,12.0,10.8,0.8823529411764706,1,4
50.0,0.6931471805599453,12.0,8.0,0.8823529411764706,2,4
50.0,1.0986122886681098,12.0,9.4,0.8823529411764706,2,4
10.0,2.3978952727983707,12.0,6.2,0.8823529411764706,1,4
25.0,1.3862943611198906,12.0,6.3,0.8823529411764706,2,4
15.0,2.772588722239781,13.0,6.2,0.8823529411764706,1,4
15.0,2.3978952727983707,12.0,6.3,0.8823529411764706,1,4
33.0,1.3862943611198906,12.0,6.3,0.8823529411764706,2,4
33.0,1.0986122886681098,12.0,5.8,0.8823529411764706,2,4
33.0,1.3862943611198906,12.0,6.1,0.8823529411764706,2,4
33.0,1.0986122886681098,12.0,4.5,0.8823529411764706,2,4
75.0,3.258096538021482,12.0,3.6,0.5196078431372549,1,5
67.0,0.6931471805599453,13.0,3.8,0.5196078431372549,2,5
0.0,1.0986122886681098,13.0,2.6,0.5196078431372549,1,5
0.0,0.6931471805599453,13.0,2.3,0.5196078431372549,2,5
67.0,1.9459101490553132,14.0,1.5,0.5196078431372549,1,5
50.0,3.713572066704308,14.0,2.6,0.5196078431372549,2,5
50.0,2.5649493574615367,12.0,22.9,0.5196078431372549,2,5
50.0,3.044522437723423,15.0,2.9,0.5196078431372549,2,5
50.0,2.5649493574615367,12.0,20.4,0.5196078431372549,2,5
0.0,1.0986122886681098,14.0,5.6,0.5196078431372549,3,5
75.0,0.6931471805599453,13.0,0.4,0.5196078431372549,2,5
50.0,1.0986122886681098,13.0,2.5,0.5196078431372549,1,5
50.0,1.0986122886681098,13.0,2.5,0.5196078431372549,1,5
50.0,3.258096538021482,13.0,2.5,0.5196078431372549,2,5
50.0,3.258096538021482,13.0,2.5,0.5196078431372549,2,5
50.0,2.3978952727983707,13.0,2.5,0.5196078431372549,1,5
50.0,2.3978952727983707,13.0,2.5,0.5196078431372549,1,5
50.0,3.044522437723423,13.0,2.5,0.5196078431372549,2,5
50.0,3.044522437723423,13.0,2.5,0.5196078431372549,2,5
50.0,0.6931471805599453,13.0,2.6,0.5196078431372549,2,5
0.0,3.2188758248682006,12.0,7.6,0.5196078431372549,2,5
0.0,0.6931471805599453,16.0,5.4,0.5196078431372549,3,5
50.0,0.6931471805599453,13.0,2.8,0.5196078431372549,2,5
50.0,1.0986122886681098,13.0,3.2,0.5196078431372549,2,5
50.0,1.9459101490553132,15.0,2.9,0.5196078431372549,2,5
67.0,1.6094379124341003,12.0,3.5,0.5196078431372549,2,5
67.0,1.6094379124341003,13.0,3.9,0.5196078431372549,1,5
67.0,1.791759469228055,12.0,2.9,0.5196078431372549,2,5
67.0,1.3862943611198906,13.0,2.7,0.5196078431372549,2,5
33.0,1.6094379124341003,11.0,17.6,0.5196078431372549,1,5
33.0,1.0986122886681098,11.0,14.5,0.5196078431372549,2,5
33.0,0.6931471805599453,12.0,6.8,0.5196078431372549,2,5
0.0,3.258096538021482,12.0,5.1,0.5196078431372549,3,5
0.0,2.70805020110221,13.0,4.5,0.5196078431372549,2,5
0.0,1.6094379124341003,15.0,3.8,0.5196078431372549,2,5
0.0,1.0986122886681098,11.0,25.5,0.5196078431372549,2,5
0.0,0.6931471805599453,12.0,11.0,0.5196078431372549,2,5
0.0,1.0986122886681098,12.0,9.3,0.5196078431372549,1,5
0.0,1.0986122886681098,13.0,5.2,0.5196078431372549,2,5
0.0,2.833213344056216,13.0,8.2,0.5196078431372549,2,5
0.0,0.6931471805599453,10.0,39.8,0.5196078431372549,2,5
0.0,1.0986122886681098,11.0,14.0,0.5196078431372549,1,5
0.0,1.0986122886681098,11.0,14.0,0.5196078431372549,1,5
0.0,1.0986122886681098,11.0,14.0,0.5196078431372549,2,5
0.0,1.0986122886681098,11.0,14.0,0.5196078431372549,2,5
0.0,1.3862943611198906,11.0,12.6,0.5196078431372549,2,5
0.0,1.0986122886681098,11.0,13.8,0.5196078431372549,1,5
0.0,3.295836866004329,11.0,6.1,0.5196078431372549,2,5
0.0,2.1972245773362196,14.0,3.1,0.5196078431372549,2,5
0.0,1.0986122886681098,13.0,3.0,0.5196078431372549,3,5
33.0,2.833213344056216,13.0,2.6,0.5196078431372549,1,5
25.0,2.833213344056216,13.0,3.2,0.5196078431372549,2,5
0.0,1.0986122886681098,10.0,26.5,0.5196078431372549,2,5
25.0,1.0986122886681098,13.0,2.0,0.5196078431372549,2,5
33.0,1.0986122886681098,14.0,2.1,0.5196078431372549,3,5
50.0,1.791759469228055,13.0,1.7,0.5196078431372549,2,5
0.0,0.6931471805599453,13.0,4.4,0.5196078431372549,1,5
0.0,0.6931471805599453,13.0,3.7,0.5196078431372549,2,5
0.0,1.0986122886681098,11.0,16.0,0.5196078431372549,2,5
0.0,3.9318256327243257,14.0,2.8,0.5196078431372549,3,5
50.0,1.791759469228055,13.0,2.7,0.5196078431372549,1,5
33.0,1.791759469228055,13.0,2.7,0.5196078431372549,1,5
50.0,3.4339872044851463,13.0,2.7,0.5196078431372549,2,5
33.0,3.4339872044851463,13.0,2.7,0.5196078431372549,2,5
33.0,2.5649493574615367,14.0,2.1,0.5196078431372549,2,5
50.0,1.0986122886681098,13.0,1.3,0.5196078431372549,1,5
33.0,1.3862943611198906,13.0,1.5,0.5196078431372549,2,5
30.0,0.6931471805599453,12.0,19.5,0.9423076923076923,1,6
20.0,0.6931471805599453,12.0,19.5,0.9423076923076923,1,6
30.0,0.6931471805599453,12.0,19.5,0.9423076923076923,2,6
20.0,0.6931471805599453,12.0,19.5,0.9423076923076923,2,6
25.0,1.6094379124341003,13.0,15.7,0.9423076923076923,2,6
20.0,1.0986122886681098,13.0,17.4,0.9423076923076923,3,6
20.0,0.6931471805599453,15.0,7.5,0.9423076923076923,2,6
25.0,0.6931471805599453,13.0,20.7,0.9423076923076923,3,6
50.0,0.6931471805599453,11.0,7.5,0.9423076923076923,1,6
25.0,0.6931471805599453,11.0,7.5,0.9423076923076923,1,6
50.0,1.0986122886681098,11.0,7.5,0.9423076923076923,2,6
25.0,1.0986122886681098,11.0,7.5,0.9423076923076923,2,6
25.0,1.3862943611198906,11.0,10.6,0.9423076923076923,2,6
30.0,2.3978952727983707,12.0,13.7,0.9423076923076923,1,6
25.0,1.3862943611198906,11.0,10.7,0.9423076923076923,2,6
30.0,0.6931471805599453,12.0,8.4,0.9423076923076923,1,6
25.0,1.6094379124341003,12.0,9.2,0.9423076923076923,2,6
0.0,2.3978952727983707,12.0,12.0,0.9423076923076923,0,6
30.0,0.6931471805599453,12.0,17.7,0.9423076923076923,3,6
40.0,1.791759469228055,12.0,4.5,0.9423076923076923,1,6
20.0,1.791759469228055,12.0,4.5,0.9423076923076923,1,6
40.0,2.3978952727983707,12.0,4.5,0.9423076923076923,2,6
20.0,2.3978952727983707,12.0,4.5,0.9423076923076923,2,6
40.0,0.6931471805599453,13.0,4.2,0.9423076923076923,1,6
20.0,0.6931471805599453,13.0,4.2,0.9423076923076923,1,6
40.0,1.0986122886681098,13.0,4.2,0.9423076923076923,2,6
20.0,1.0986122886681098,13.0,4.2,0.9423076923076923,2,6
25.0,1.3862943611198906,15.0,4.9,0.9423076923076923,2,6
20.0,0.6931471805599453,15.0,5.1,0.9423076923076923,2,6
15.0,0.6931471805599453,15.0,5.1,0.9423076923076923,2,6
25.0,0.6931471805599453,15.0,4.7,0.9423076923076923,3,6
15.0,0.6931471805599453,14.0,5.2,0.9423076923076923,2,6
10.0,0.6931471805599453,14.0,5.2,0.9423076923076923,2,6
30.0,0.6931471805599453,13.0,7.4,0.9423076923076923,1,6
20.0,0.6931471805599453,13.0,7.4,0.9423076923076923,1,6
30.0,0.6931471805599453,13.0,7.4,0.9423076923076923,2,6
20.0,0.6931471805599453,13.0,7.4,0.9423076923076923,2,6
30.0,1.3862943611198906,13.0,6.6,0.9423076923076923,2,6
40.0,2.3978952727983707,13.0,7.3,0.9423076923076923,1,6
15.0,1.6094379124341003,12.0,8.1,0.9423076923076923,3,6
33.0,0.6931471805599453,12.0,8.9,0.9423076923076923,1,6
20.0,0.6931471805599453,12.0,8.9,0.9423076923076923,1,6
33.0,1.3862943611198906,12.0,8.9,0.9423076923076923,2,6
20.0,1.3862943611198906,12.0,8.9,0.9423076923076923,2,6
15.0,1.0986122886681098,12.0,9.8,0.9423076923076923,0,6
25.0,1.6094379124341003,15.0,15.6,0.9423076923076923,2,6
33.0,0.6931471805599453,11.0,8.5,0.9423076923076923,1,6
25.0,0.6931471805599453,11.0,8.5,0.9423076923076923,1,6
33.0,0.6931471805599453,11.0,8.5,0.9423076923076923,2,6
25.0,0.6931471805599453,11.0,8.5,0.9423076923076923,2,6
25.0,1.0986122886681098,11.0,8.6,0.9423076923076923,2,6
10.0,1.791759469228055,11.0,9.3,0.9423076923076923,0,6
20.0,1.3862943611198906,11.0,10.6,0.9423076923076923,2,6
15.0,1.0986122886681098,12.0,5.8,0.9423076923076923,3,6
33.0,2.3978952727983707,12.0,5.7,1.0,1,7
15.0,3.258096538021482,12.0,6.6,1.0,0,7
50.0,3.258096538021482,12.0,8.5,1.0,3,7
33.0,3.044522437723423,12.0,8.7,1.0,4,7
33.0,0.6931471805599453,12.0,6.6,1.0,3,7
33.0,3.4339872044851463,12.0,5.6,1.0,3,7
25.0,1.0986122886681098,11.0,8.0,1.0,3,7
50.0,2.3978952727983707,12.0,9.3,1.0,4,7
75.0,2.5649493574615367,12.0,12.3,1.0,1,7
50.0,2.3978952727983707,13.0,11.3,1.0,0,7
25.0,0.6931471805599453,13.0,9.7,1.0,3,7
33.0,1.791759469228055,13.0,9.9,1.0,0,7
67.0,3.6375861597263857,13.0,10.3,1.0,3,7
25.0,3.6375861597263857,13.0,9.8,1.0,3,7
33.0,1.9459101490553132,12.0,16.1,1.0,1,7
25.0,3.258096538021482,12.0,17.3,1.0,0,7
67.0,1.0986122886681098,12.0,9.7,1.0,3,7
33.0,1.0986122886681098,12.0,14.4,1.0,3,7
25.0,0.9162907318741551,11.0,11.7,1.0,3,7
33.0,2.772588722239781,12.0,13.3,1.0,1,7
25.0,0.6931471805599453,11.0,14.0,1.0,3,7
33.0,3.9318256327243257,11.0,14.1,1.0,4,7
67.0,1.9459101490553132,12.0,13.5,1.0,0,7
25.0,3.4339872044851463,12.0,13.5,1.0,3,7
67.0,1.0986122886681098,12.0,13.0,1.0,3,7
67.0,2.772588722239781,13.0,3.6,1.0,1,7
50.0,0.6931471805599453,13.0,3.6,1.0,3,7
50.0,0.6931471805599453,12.0,4.1,1.0,4,7
50.0,0.4054651081081644,12.0,4.2,1.0,3,7
33.0,0.4054651081081644,13.0,5.0,1.0,3,7
33.0,1.0986122886681098,12.0,4.6,1.0,3,7
67.0,2.1972245773362196,14.0,2.4,1.0,1,7
33.0,0.4054651081081644,13.0,7.1,1.0,3,7
25.0,0.6931471805599453,13.0,3.8,1.0,3,7
25.0,0.9162907318741551,13.0,3.7,1.0,3,7
25.0,2.3978952727983707,13.0,3.2,1.0,1,7
33.0,0.4054651081081644,14.0,2.0,1.0,3,7
25.0,0.9162907318741551,13.0,2.8,1.0,3,7
33.0,1.0986122886681098,13.0,4.9,1.0,3,7
50.0,0.6931471805599453,14.0,1.4,1.0,3,7
15.0,0.6931471805599453,12.0,2.0,1.0,3,7
25.0,0.4054651081081644,12.0,3.2,1.0,3,7
25.0,0.6931471805599453,13.0,3.5,1.0,3,7
33.0,0.6931471805599453,13.0,3.3,1.0,3,7
25.0,2.1972245773362196,12.0,2.5,1.0,1,7
50.0,0.6931471805599453,14.0,3.8,1.0,3,7
75.0,1.9459101490553132,11.0,12.2,1.0,1,7
33.0,0.6931471805599453,11.0,13.7,1.0,3,7
50.0,3.258096538021482,11.0,14.3,1.0,0,7
25.0,1.0986122886681098,12.0,9.2,1.0,3,7
25.0,0.4054651081081644,11.0,12.7,1.0,3,7
25.0,0.9162907318741551,11.0,13.5,1.0,3,7
67.0,2.1972245773362196,12.0,12.9,1.0,4,7
33.0,0.6931471805599453,12.0,13.3,1.0,3,7
15.0,3.044522437723423,14.0,6.4,1.0,1,7
67.0,1.3862943611198906,15.0,5.8,1.0,0,7
25.0,0.6931471805599453,16.0,2.9,1.0,3,7
25.0,0.6931471805599453,14.0,10.4,1.0,3,7
33.0,1.0986122886681098,14.0,5.1,1.0,3,7
33.0,1.0986122886681098,11.0,19.2,1.0,3,7
25.0,0.6931471805599453,14.0,8.3,1.0,3,7
15.0,2.1972245773362196,12.0,12.3,1.0,1,7
33.0,0.6931471805599453,16.0,0.8,1.0,3,7
25.0,0.6931471805599453,14.0,4.6,1.0,3,7
0.0,3.58351893845611,10.0,38.0,0.35802469135802467,1,8
0.0,4.330733340286331,10.0,38.9,0.35802469135802467,4,8
0.0,4.330733340286331,10.0,38.9,0.35802469135802467,4,8
0.0,0.9162907318741551,11.0,40.9,0.35802469135802467,3,8
0.0,0.6931471805599453,11.0,40.3,0.35802469135802467,3,8
0.0,0.6931471805599453,12.0,3.6,0.35802469135802467,3,8
0.0,3.58351893845611,13.0,4.9,0.35802469135802467,3,8
0.0,4.330733340286331,10.0,44.7,0.35802469135802467,4,8
0.0,1.0986122886681098,10.0,39.4,0.35802469135802467,4,8
0.0,1.252762968495368,12.0,25.8,0.35802469135802467,4,8
80.0,1.0986122886681098,12.0,11.3,0.35802469135802467,1,8
0.0,1.0986122886681098,12.0,11.3,0.35802469135802467,1,8
0.0,1.0986122886681098,12.0,10.5,0.35802469135802467,3,8
0.0,4.330733340286331,12.0,14.3,0.35802469135802467,4,8
0.0,0.6931471805599453,12.0,24.0,0.35802469135802467,1,8
0.0,0.6931471805599453,12.0,21.3,0.35802469135802467,4,8
0.0,1.0986122886681098,12.0,25.1,0.35802469135802467,3,8
0.0,0.6931471805599453,12.0,19.2,0.35802469135802467,0,8
33.0,1.3862943611198906,12.0,12.0,0.35802469135802467,4,8
50.0,1.3862943611198906,12.0,11.8,0.35802469135802467,3,8
50.0,4.330733340286331,13.0,16.6,0.35802469135802467,2,8
80.0,0.6931471805599453,12.0,22.1,0.35802469135802467,1,8
0.0,0.6931471805599453,12.0,22.1,0.35802469135802467,1,8
0.0,0.6931471805599453,12.0,22.1,0.35802469135802467,1,8
0.0,4.330733340286331,13.0,9.2,0.35802469135802467,3,8
0.0,1.0986122886681098,14.0,8.4,0.35802469135802467,4,8
0.0,0.9162907318741551,13.0,24.3,0.35802469135802467,3,8
0.0,0.9162907318741551,13.0,24.3,0.35802469135802467,3,8
0.0,0.9162907318741551,13.0,24.3,0.35802469135802467,3,8
0.0,1.5040773967762742,13.0,19.5,0.35802469135802467,4,8
25.0,0.6931471805599453,10.0,38.5,0.35802469135802467,4,8
20.0,4.330733340286331,11.0,35.4,0.35802469135802467,4,8
20.0,4.330733340286331,11.0,40.2,0.35802469135802467,4,8
50.0,3.58351893845611,11.0,37.9,0.35802469135802467,1,8
50.0,3.58351893845611,11.0,36.6,0.35802469135802467,1,8
25.0,3.58351893845611,11.0,37.9,0.35802469135802467,1,8
25.0,3.58351893845611,11.0,36.6,0.35802469135802467,1,8
0.0,1.0986122886681098,11.0,30.2,0.35802469135802467,2,8
0.0,1.0986122886681098,11.0,40.5,0.35802469135802467,2,8
75.0,1.0986122886681098,11.0,30.2,0.35802469135802467,2,8
75.0,1.0986122886681098,11.0,40.5,0.35802469135802467,2,8
0.0,1.3862943611198906,11.0,30.4,0.35802469135802467,4,8
0.0,1.3862943611198906,11.0,40.8,0.35802469135802467,4,8
20.0,1.3862943611198906,11.0,30.4,0.35802469135802467,4,8
20.0,1.3862943611198906,11.0,40.8,0.35802469135802467,4,8
0.0,4.330733340286331,11.0,34.9,0.35802469135802467,0,8
0.0,4.330733340286331,10.0,43.6,0.35802469135802467,0,8
50.0,1.0986122886681098,11.0,37.9,0.35802469135802467,2,8
50.0,1.0986122886681098,11.0,36.6,0.35802469135802467,2,8
25.0,1.0986122886681098,11.0,37.9,0.35802469135802467,2,8
25.0,1.0986122886681098,11.0,36.6,0.35802469135802467,2,8
0.0,0.6931471805599453,11.0,30.2,0.35802469135802467,1,8
0.0,0.6931471805599453,11.0,40.5,0.35802469135802467,1,8
75.0,0.6931471805599453,11.0,30.2,0.35802469135802467,1,8
75.0,0.6931471805599453,11.0,40.5,0.35802469135802467,1,8
0.0,1.5040773967762742,11.0,30.4,0.35802469135802467,4,8
0.0,1.5040773967762742,11.0,40.8,0.35802469135802467,4,8
20.0,1.5040773967762742,11.0,30.4,0.35802469135802467,4,8
20.0,1.5040773967762742,11.0,40.8,0.35802469135802467,4,8
0.0,1.3862943611198906,11.0,14.2,0.35802469135802467,2,8
0.0,0.6931471805599453,12.0,10.7,0.35802469135802467,3,8
20.0,0.9162907318741551,12.0,6.6,0.35802469135802467,4,8
0.0,0.9162907318741551,12.0,6.6,0.35802469135802467,4,8
20.0,1.0986122886681098,12.0,12.2,0.35802469135802467,3,8
25.0,4.330733340286331,12.0,14.0,0.35802469135802467,4,8
25.0,4.330733340286331,11.0,12.6,0.35802469135802467,4,8
25.0,0.6931471805599453,12.0,13.7,0.35802469135802467,4,8
25.0,3.9318256327243257,12.0,23.2,0.35802469135802467,4,8
20.0,1.0986122886681098,12.0,11.6,0.35802469135802467,4,8
85.0,0.6931471805599453,12.0,9.0,0.35802469135802467,1,8
