A,Y,W,Z,X_race,X_sex
16.0,2.5817308344235403,12.0,0.0,3,2
12.0,2.7226103524335397,16.0,12.0,3,1
16.0,2.8507065015037334,16.0,16.0,3,1
15.0,2.4060438013622756,16.0,16.0,3,1
20.0,3.279029747687948,11.0,14.0,3,2
20.0,3.3470931226689546,12.0,14.0,3,2
15.0,2.1004689088719113,8.0,11.0,3,1
12.0,2.341805806147327,15.0,10.0,3,1
15.0,2.9047128751668225,12.0,12.0,3,1
13.0,2.2512917986064953,12.0,16.0,3,2
12.0,1.3862943611198906,7.0,10.0,3,2
12.0,2.1016921506146558,8.0,11.0,3,2
12.0,1.8325814637483102,12.0,6.0,3,2
12.0,2.302585092994046,7.0,18.0,3,2
14.0,2.402430427963762,12.0,12.0,3,2
19.0,2.6347624053323777,8.0,15.0,3,1
17.0,2.1114245875328868,12.0,9.0,3,2
11.0,1.3812818192963463,12.0,6.0,3,1
12.0,2.4965057856313524,8.0,10.0,3,2
12.0,2.0149030205422647,8.0,16.0,3,2
13.0,2.21046980408624,9.0,11.0,3,2
14.0,1.7595805708638197,12.0,11.0,3,2
12.0,2.3869262414277967,12.0,0.0,3,1
14.0,2.8780742300857587,18.0,14.0,3,1
14.0,2.599722324216582,8.0,16.0,3,1
12.0,1.9459101490553132,13.0,16.0,3,1
16.0,3.566146688731639,18.0,16.0,3,1
12.0,2.545531271604435,16.0,12.0,3,1
20.0,1.451613827240533,16.0,12.0,3,2
15.0,2.9047128751668225,12.0,14.0,3,1
13.0,2.599722324216582,18.0,20.0,3,1
14.0,2.6858045921548905,18.0,16.0,3,2
12.0,2.340843805111136,13.0,16.0,3,2
12.0,1.7984040119467235,13.0,12.0,3,1
13.0,2.302585092994046,10.0,5.0,3,2
12.0,2.599722324216582,14.0,12.0,3,1
18.0,3.0209125720842893,13.0,19.0,3,1
16.0,2.70805020110221,13.0,14.0,3,2
12.0,2.5930133911138515,12.0,13.0,1,1
10.0,1.965712776351493,12.0,9.0,1,2
16.0,2.34660197841082,12.0,15.0,1,2
12.0,2.272125885509337,8.0,12.0,3,2
12.0,1.55814461804655,8.0,10.0,3,2
10.0,1.6094379124341003,7.0,8.0,1,2
18.0,2.5257286443082556,12.0,17.0,3,2
13.0,2.599722324216582,12.0,12.0,3,2
12.0,2.21375387928743,12.0,15.0,1,2
13.0,1.9810014688665833,11.0,12.0,2,1
12.0,2.3978952727983707,12.0,12.0,3,2
12.0,2.4849066497880004,12.0,14.0,3,1
13.0,2.8408313123360287,12.0,12.0,3,1
12.0,2.668616131856803,8.0,12.0,3,1
14.0,2.2438960966453663,10.0,12.0,3,2
11.0,2.4849066497880004,10.0,12.0,3,1
12.0,3.624340932976365,10.0,10.0,3,1
12.0,2.341805806147327,12.0,16.0,3,1
16.0,2.2181159363675955,18.0,16.0,3,1
12.0,4.31748811353631,10.0,14.0,3,1
12.0,2.7738379416402132,12.0,12.0,3,1
9.0,2.5257286443082556,12.0,12.0,3,1
16.0,2.668616131856803,16.0,16.0,3,2
15.0,2.1972245773362196,12.0,2.0,2,2
12.0,2.4078456036515385,12.0,12.0,2,1
14.0,2.8914822521801917,16.0,16.0,3,2
16.0,3.138533072185662,16.0,16.0,3,1
13.0,1.8325814637483102,14.0,13.0,2,2
16.0,2.4203681286504293,16.0,17.0,3,2
16.0,2.558002204858551,8.0,12.0,3,1
15.0,2.0794415416798357,12.0,18.0,3,2
12.0,2.7485521444115397,12.0,12.0,3,1
17.0,2.67552700939665,12.0,12.0,3,1
12.0,2.599722324216582,16.0,16.0,3,1
12.0,2.6232182655855123,16.0,12.0,3,2
12.0,2.4849066497880004,12.0,12.0,3,1
12.0,2.6511270537025893,12.0,12.0,3,2
13.0,2.7738379416402132,12.0,12.0,3,1
16.0,2.668616131856803,13.0,12.0,3,1
16.0,2.9052603703899154,14.0,14.0,3,1
19.0,2.9311937524164198,16.0,18.0,3,2
16.0,2.995732273553991,14.0,16.0,3,1
16.0,3.6496187401606335,14.0,16.0,3,1
17.0,2.3646204839134985,12.0,17.0,2,2
16.0,2.5257286443082556,19.0,16.0,3,2
16.0,2.9047128751668225,18.0,12.0,3,2
12.0,1.9878743481543455,4.0,12.0,3,2
12.0,1.8325814637483102,4.0,12.0,3,2
12.0,2.3978952727983707,4.0,12.0,3,1
15.0,2.8656235882069705,12.0,4.0,3,1
10.0,2.327277705584417,12.0,12.0,2,1
8.0,1.7047480922384253,12.0,8.0,2,2
11.0,2.302585092994046,10.0,12.0,2,1
12.0,2.984671326194566,12.0,10.0,2,1
12.0,2.1198634561787513,10.0,14.0,2,1
12.0,5.919135760495347,8.0,11.0,2,2
12.0,2.5847519847577165,7.0,12.0,2,2
12.0,2.2181159363675955,16.0,12.0,3,2
12.0,2.0347056478384444,12.0,8.0,2,2
12.0,2.740840023925201,12.0,4.0,3,1
13.0,2.70805020110221,12.0,14.0,3,1
18.0,2.822568654544802,10.0,7.0,3,2
16.0,3.1793030497483774,10.0,2.0,3,2
12.0,2.5257286443082556,11.0,12.0,3,2
12.0,5.19295685089021,11.0,9.0,3,2
7.0,1.9600947840472698,10.0,11.0,3,1
13.0,4.605170185988092,15.0,12.0,3,2
12.0,2.9882040071331994,12.0,12.0,3,1
16.0,3.202339856228101,16.0,16.0,3,1
12.0,2.517696472610991,12.0,13.0,3,1
13.0,1.9974177062012453,12.0,12.0,3,1
14.0,1.1378330018213911,16.0,12.0,3,2
12.0,2.733067964077498,16.0,12.0,3,1
13.0,1.358409157630355,12.0,11.0,3,2
19.0,2.9311937524164198,20.0,18.0,3,1
20.0,2.2159372862683733,20.0,20.0,3,2
12.0,3.005187432324746,12.0,12.0,3,1
12.0,2.0149030205422647,12.0,10.0,3,2
12.0,3.295836866004329,12.0,14.0,1,1
14.0,2.302585092994046,16.0,12.0,3,2
14.0,2.5718485799218085,15.0,12.0,3,2
12.0,1.8961194845522977,12.0,15.0,3,1
12.0,1.8082887711792655,11.0,12.0,3,1
12.0,2.5649493574615367,8.0,1.0,3,1
12.0,2.5273273656719524,12.0,8.0,3,1
12.0,2.066862759472976,10.0,12.0,3,2
13.0,2.0149030205422647,12.0,4.0,3,2
16.0,3.134189016701007,8.0,16.0,3,2
12.0,2.598979106047848,9.0,12.0,3,1
12.0,1.8325814637483102,8.0,12.0,3,2
14.0,0.9439058989071284,14.0,16.0,3,1
16.0,0.8109302162163288,16.0,17.0,3,2
16.0,2.558002204858551,16.0,16.0,3,1
12.0,1.9810014688665833,12.0,12.0,3,1
12.0,1.965712776351493,12.0,0.0,3,2
12.0,2.302585092994046,12.0,12.0,3,1
13.0,2.3350522831315472,12.0,12.0,3,1
17.0,2.563409711275944,12.0,12.0,3,2
20.0,3.295836866004329,12.0,20.0,3,2
16.0,2.247072383063787,14.0,16.0,3,1
18.0,2.551006451492524,12.0,14.0,3,2
16.0,2.7899373605743945,12.0,20.0,3,2
13.0,2.405141681319138,10.0,9.0,3,2
16.0,2.826129489167811,18.0,14.0,3,1
18.0,2.481567748522486,14.0,18.0,3,2
14.0,2.4449523342809676,12.0,14.0,3,1
12.0,2.1065702090680887,12.0,7.0,3,2
16.0,2.3749057545736716,19.0,13.0,3,1
16.0,2.0794415416798357,18.0,12.0,3,2
16.0,2.733067964077498,12.0,16.0,3,1
12.0,2.302585092994046,6.0,6.0,3,1
12.0,1.766441661243765,13.0,12.0,3,2
11.0,1.9947003132247452,12.0,11.0,3,2
12.0,1.8164520818184267,12.0,2.0,3,2
12.0,1.713797927758343,12.0,12.0,3,2
12.0,2.2417729535972883,12.0,12.0,3,1
12.0,2.169053700369523,12.0,13.0,3,1
18.0,2.8249439525737094,12.0,17.0,3,1
19.0,3.251536607107749,16.0,16.0,3,1
19.0,2.88703285663065,16.0,16.0,3,1
12.0,2.3978952727983707,10.0,13.0,3,1
12.0,2.3532782073095637,10.0,12.0,3,1
12.0,2.599722324216582,14.0,16.0,3,1
14.0,2.4807312783775197,13.0,12.0,3,2
14.0,2.772588722239781,18.0,12.0,3,1
12.0,2.8622008809294686,11.0,12.0,3,2
13.0,2.302585092994046,12.0,14.0,3,1
14.0,2.4449523342809676,12.0,12.0,3,2
13.0,1.5686159179138452,12.0,6.0,3,2
12.0,3.0022112396517002,11.0,12.0,3,1
12.0,1.8325814637483102,11.0,11.0,3,2
19.0,2.4449523342809676,12.0,20.0,3,2
12.0,2.1972245773362196,12.0,12.0,3,1
14.0,2.9041650800285006,6.0,14.0,2,1
16.0,2.1644717908644115,8.0,14.0,2,1
13.0,2.211565694606877,11.0,12.0,2,2
15.0,2.2181159363675955,11.0,20.0,2,1
13.0,2.463853240590168,20.0,12.0,3,2
12.0,2.1972245773362196,12.0,11.0,3,2
9.0,1.7047480922384253,8.0,10.0,3,2
9.0,2.5649493574615367,12.0,9.0,3,1
14.0,2.5257286443082556,12.0,11.0,3,2
12.0,1.6094379124341003,7.0,11.0,3,1
12.0,2.2915241456346207,12.0,12.0,3,1
12.0,1.9459101490553132,11.0,11.0,3,2
14.0,3.075928815548268,10.0,14.0,3,1
11.0,2.4449523342809676,16.0,12.0,3,1
12.0,2.0794415416798357,16.0,14.0,3,2
16.0,2.87751164216656,16.0,16.0,3,1
16.0,3.4722769633431074,12.0,13.0,3,1
17.0,2.365559892155434,15.0,16.0,3,2
16.0,3.0740812399649675,16.0,18.0,3,1
14.0,4.245060779600724,18.0,12.0,3,1
20.0,2.3758355547336385,13.0,16.0,3,1
14.0,2.2874714551839976,12.0,17.0,3,1
13.0,2.262804222982201,12.0,16.0,3,1
14.0,2.222459048514761,12.0,16.0,3,2
12.0,2.2512917986064953,14.0,1.0,3,2
12.0,1.9600947840472698,12.0,12.0,3,1
15.0,2.302585092994046,12.0,12.0,3,1
17.0,2.4449523342809676,16.0,15.0,3,1
19.0,2.7447035187502458,16.0,13.0,3,1
18.0,3.1354942159291497,16.0,18.0,3,2
12.0,2.7555697170701863,12.0,12.0,3,1
12.0,2.3978952727983707,12.0,16.0,3,1
16.0,2.4168062370840686,20.0,5.0,3,2
13.0,2.574137783515943,15.0,16.0,3,1
12.0,1.791759469228055,11.0,12.0,3,2
14.0,2.254444717666111,16.0,12.0,1,2
14.0,1.916922612182061,12.0,12.0,1,2
12.0,2.5400259490090797,12.0,12.0,2,1
16.0,2.333114298028869,16.0,16.0,3,1
15.0,3.2188758248682006,12.0,14.0,3,2
12.0,2.739548868161581,12.0,12.0,3,1
12.0,2.710048203764883,16.0,12.0,3,1
16.0,2.4203681286504293,16.0,12.0,3,2
14.0,2.733067964077498,12.0,12.0,3,2
14.0,2.805781689595545,12.0,16.0,3,2
12.0,2.8587664184808337,12.0,12.0,3,1
12.0,2.277267285009756,9.0,12.0,3,1
16.0,2.5649493574615367,12.0,11.0,3,2
12.0,3.2188758248682006,12.0,14.0,3,2
15.0,1.6331544390514163,13.0,15.0,2,2
12.0,2.1400661634962708,7.0,12.0,3,2
8.0,2.302585092994046,10.0,6.0,3,1
8.0,1.8764069432883397,10.0,11.0,3,1
12.0,1.6094379124341003,9.0,10.0,3,2
12.0,2.388762789235098,12.0,12.0,3,2
13.0,2.668616131856803,15.0,12.0,3,1
12.0,2.505525936990736,15.0,15.0,3,1
12.0,2.182674796321488,11.0,12.0,3,2
11.0,2.0149030205422647,14.0,12.0,3,1
20.0,3.487069220736119,14.0,16.0,3,1
16.0,3.391820219849558,14.0,16.0,3,1
12.0,2.8633430855082453,18.0,12.0,3,1
13.0,1.9095425048844386,17.0,8.0,3,2
17.0,2.9564715596006885,17.0,16.0,3,1
16.0,2.5217206229107165,17.0,16.0,3,2
14.0,2.0476928433652555,18.0,12.0,3,2
16.0,2.733067964077498,14.0,20.0,3,2
20.0,2.3145136638593193,18.0,20.0,3,2
12.0,2.5257286443082556,18.0,12.0,3,1
12.0,2.9564715596006885,16.0,12.0,3,1
14.0,0.7975071958841882,16.0,16.0,3,2
12.0,1.7316555451583497,16.0,12.0,3,2
17.0,2.3869262414277967,17.0,18.0,3,2
12.0,0.6931471805599453,12.0,12.0,3,1
14.0,2.336019869080283,10.0,16.0,3,1
16.0,2.599722324216582,15.0,19.0,3,2
16.0,2.8130106367386967,13.0,2.0,2,1
16.0,2.0706530356467567,13.0,16.0,2,1
12.0,2.5817308344235403,12.0,12.0,2,1
12.0,1.965712776351493,11.0,14.0,2,1
12.0,2.4449523342809676,12.0,15.0,2,1
12.0,2.0149030205422647,4.0,12.0,2,1
12.0,2.6347624053323777,12.0,10.0,3,1
18.0,3.0740812399649675,12.0,17.0,3,1
13.0,1.2029723039923526,11.0,5.0,3,2
13.0,1.8961194845522977,12.0,10.0,3,2
12.0,2.388762789235098,12.0,15.0,3,1
12.0,2.6741486494265287,12.0,12.0,3,1
12.0,2.2512917986064953,9.0,14.0,3,1
9.0,1.1537315878891892,12.0,0.0,3,1
12.0,1.8325814637483102,12.0,16.0,3,1
13.0,2.668616131856803,14.0,12.0,3,2
14.0,2.7880929087757464,10.0,12.0,3,1
13.0,2.3683728335320486,12.0,18.0,3,2
11.0,1.3862943611198906,9.0,0.0,3,1
10.0,2.5257286443082556,10.0,12.0,3,1
12.0,2.772588722239781,9.0,0.0,3,1
12.0,2.833213344056216,12.0,12.0,3,1
12.0,2.0794415416798357,6.0,11.0,3,1
12.0,2.0149030205422647,2.0,10.0,3,2
11.0,2.272125885509337,12.0,12.0,3,1
12.0,1.6094379124341003,12.0,12.0,3,2
20.0,2.7363136663750693,19.0,16.0,3,1
15.0,2.318458442150336,12.0,12.0,3,2
12.0,1.8500283773520307,12.0,12.0,3,1
12.0,2.3485140248824456,15.0,4.0,3,1
12.0,3.3046864812813115,12.0,12.0,3,1
15.0,2.9047128751668225,12.0,12.0,3,1
12.0,3.3336320621663895,12.0,12.0,3,1
12.0,3.6496187401606335,12.0,12.0,3,1
13.0,1.8718021769015913,12.0,11.0,3,2
12.0,2.4449523342809676,12.0,5.0,3,2
14.0,2.302585092994046,12.0,8.0,3,2
12.0,1.6094379124341003,8.0,14.0,3,1
17.0,3.1793030497483774,20.0,17.0,3,1
14.0,1.7173950539391927,12.0,11.0,2,2
12.0,2.3896797998449792,12.0,0.0,2,2
13.0,2.551006451492524,10.0,12.0,3,2
19.0,3.3130945001071823,10.0,3.0,3,2
12.0,2.8130106367386967,3.0,9.0,1,2
12.0,2.5257286443082556,3.0,8.0,1,2
14.0,2.157559320943788,9.0,11.0,2,2
12.0,2.8622008809294686,2.0,0.0,2,1
12.0,1.6582280766035324,12.0,10.0,1,1
12.0,1.8718021769015913,12.0,0.0,1,1
9.0,2.1004689088719113,12.0,9.0,3,1
12.0,2.209372711271867,12.0,12.0,3,1
14.0,1.9459101490553132,12.0,12.0,3,1
16.0,3.3558512798952784,13.0,1.0,3,1
14.0,2.33214389523559,12.0,2.0,3,2
12.0,2.5817308344235403,10.0,10.0,1,1
12.0,1.5644405465033646,12.0,12.0,3,2
16.0,0.9555114450274363,12.0,9.0,3,2
13.0,2.468946630209271,13.0,7.0,3,1
16.0,2.8780742300857587,12.0,19.0,3,1
12.0,3.2565568918358894,12.0,12.0,3,1
12.0,1.706564623164823,12.0,12.0,3,2
12.0,2.6483001966964363,12.0,12.0,3,1
14.0,2.485739636091892,9.0,12.0,3,1
12.0,2.175887439948088,6.0,12.0,3,1
12.0,2.2071749081893874,12.0,12.0,3,2
13.0,1.6770965609079151,12.0,6.0,3,2
12.0,1.4469189829363254,12.0,12.0,3,2
16.0,2.740840023925201,12.0,16.0,3,1
16.0,-2.659260036932778,12.0,16.0,3,2
15.0,1.9754689512968577,10.0,17.0,3,2
16.0,3.1135153092103742,10.0,16.0,3,2
20.0,1.9530276168241774,13.0,12.0,3,1
12.0,2.128231705849268,17.0,14.0,3,1
16.0,2.4168062370840686,12.0,17.0,3,2
13.0,4.062681881713259,12.0,12.0,3,1
14.0,1.6094379124341003,12.0,12.0,3,1
16.0,2.668616131856803,16.0,14.0,3,2
12.0,2.9564715596006885,14.0,14.0,3,1
17.0,3.0027078872904163,16.0,3.0,3,1
16.0,2.1972245773362196,16.0,12.0,3,1
20.0,2.0399207835175526,16.0,16.0,3,1
19.0,3.2188758248682006,17.0,3.0,3,2
12.0,1.6956156086751528,12.0,12.0,2,1
12.0,1.6094379124341003,12.0,7.0,2,2
13.0,2.305580601973844,10.0,6.0,2,2
15.0,1.927164106234258,10.0,15.0,2,2
12.0,1.0577902941478545,9.0,10.0,3,2
11.0,1.4469189829363254,12.0,13.0,3,2
12.0,2.0794415416798357,11.0,1.0,3,1
16.0,2.7936160894318567,11.0,14.0,2,1
12.0,1.55814461804655,8.0,8.0,3,2
13.0,2.253394848803274,11.0,12.0,3,1
12.0,2.6837575085331657,12.0,10.0,3,1
12.0,1.6937790608678513,12.0,14.0,3,2
13.0,1.2029723039923526,12.0,8.0,3,2
13.0,2.262804222982201,12.0,15.0,3,2
12.0,2.302585092994046,12.0,12.0,3,1
12.0,2.1972245773362196,12.0,6.0,3,1
11.0,1.5040773967762742,12.0,12.0,3,2
12.0,2.4449523342809676,16.0,14.0,3,1
20.0,2.3174737054877963,16.0,16.0,3,1
12.0,2.7466296830696852,16.0,18.0,3,2
18.0,1.9095425048844386,18.0,12.0,3,1
12.0,1.55814461804655,12.0,0.0,3,1
10.0,2.302585092994046,13.0,5.0,3,1
16.0,2.9745086371023644,17.0,18.0,3,1
18.0,1.9315214116032138,17.0,18.0,3,1
12.0,2.4672517145492794,15.0,12.0,3,2
14.0,3.367295829986474,15.0,16.0,3,2
17.0,2.402430427963762,20.0,12.0,3,2
16.0,2.551006451492524,16.0,16.0,3,1
16.0,2.402430427963762,16.0,16.0,3,1
18.0,2.548663615590751,15.0,16.0,3,2
18.0,2.745345985845907,16.0,18.0,3,2
17.0,1.9459101490553132,16.0,16.0,3,2
12.0,2.4449523342809676,14.0,16.0,3,1
14.0,2.302585092994046,12.0,12.0,3,2
19.0,3.005187432324746,14.0,16.0,3,1
12.0,2.733067964077498,14.0,12.0,3,1
12.0,2.4078456036515385,14.0,0.0,3,2
12.0,1.791759469228055,12.0,12.0,3,2
16.0,2.4527277514237653,16.0,18.0,3,2
16.0,2.7466296830696852,17.0,19.0,3,2
16.0,2.262804222982201,16.0,17.0,3,2
15.0,1.9344157696295783,10.0,7.0,3,1
15.0,1.8961194845522977,12.0,3.0,3,2
17.0,2.262804222982201,16.0,16.0,3,1
14.0,2.681706225762608,12.0,14.0,3,1
17.0,3.0516399054922867,12.0,16.0,3,2
19.0,1.682688374173693,12.0,16.0,3,1
16.0,2.0149030205422647,12.0,12.0,3,1
15.0,2.1610215286722587,12.0,14.0,3,2
16.0,3.0610517396746335,10.0,16.0,3,2
12.0,2.7638002162067017,12.0,16.0,1,2
13.0,2.322387720290225,8.0,13.0,1,2
16.0,2.6152036507358583,16.0,16.0,3,1
12.0,2.4849066497880004,13.0,9.0,3,1
12.0,1.9286186519452522,12.0,5.0,3,2
12.0,2.1972245773362196,12.0,13.0,3,1
13.0,2.2905125117597764,12.0,12.0,3,1
12.0,3.0740812399649675,11.0,5.0,3,1
12.0,2.6602595372658615,9.0,12.0,3,2
16.0,3.0430928449138284,13.0,19.0,3,1
16.0,3.202339856228101,14.0,14.0,3,1
16.0,2.772588722239781,12.0,10.0,3,2
12.0,2.262804222982201,12.0,10.0,3,1
12.0,1.9459101490553132,12.0,12.0,3,2
16.0,2.2428350885882717,11.0,14.0,3,1
14.0,2.495681722955959,12.0,12.0,3,2
14.0,2.599722324216582,12.0,14.0,3,1
12.0,2.0476928433652555,12.0,12.0,3,1
12.0,1.6094379124341003,10.0,12.0,3,2
12.0,2.302585092994046,12.0,10.0,3,2
13.0,2.70805020110221,12.0,12.0,3,1
12.0,3.033028058297688,12.0,13.0,3,2
16.0,2.1114245875328868,12.0,16.0,3,1
13.0,3.061520014091994,12.0,12.0,3,1
12.0,2.3850863145057892,11.0,8.0,3,2
12.0,2.7013612129514133,11.0,12.0,3,2
12.0,2.551006451492524,12.0,12.0,3,1
12.0,2.668616131856803,12.0,12.0,3,2
16.0,1.9459101490553132,12.0,16.0,3,2
13.0,2.0794415416798357,12.0,12.0,3,1
12.0,2.080690761080268,12.0,16.0,3,1
14.0,2.2300144001592104,16.0,13.0,3,1
15.0,3.4339872044851463,16.0,14.0,3,1
16.0,3.096029994869355,16.0,16.0,3,1
14.0,2.3580197998821464,9.0,12.0,3,2
12.0,3.005187432324746,9.0,12.0,3,2
12.0,2.200552367428894,9.0,1.0,3,2
12.0,2.2925347571405443,10.0,14.0,3,2
12.0,2.3513752571634776,10.0,15.0,3,2
12.0,2.7047112998366956,10.0,14.0,3,1
12.0,2.2192034840549946,12.0,12.0,3,2
12.0,2.833213344056216,12.0,14.0,3,1
12.0,2.262804222982201,12.0,14.0,3,2
18.0,2.733067964077498,12.0,16.0,3,2
18.0,3.091042453358316,12.0,16.0,3,2
12.0,2.3580197998821464,12.0,12.0,3,1
16.0,1.6956156086751528,12.0,16.0,3,2
12.0,2.803360380906535,8.0,12.0,3,1
12.0,2.5249283241374862,8.0,8.0,3,2
16.0,2.4849066497880004,20.0,13.0,3,1
14.0,3.8066624897703196,12.0,16.0,3,1
12.0,2.70805020110221,16.0,13.0,3,1
12.0,2.302585092994046,16.0,16.0,3,2
12.0,1.9823798288367047,11.0,12.0,3,2
12.0,2.0399207835175526,15.0,16.0,3,1
14.0,2.0068708488450007,8.0,7.0,3,2
14.0,1.8870696490323797,12.0,10.0,2,1
12.0,1.589235205116581,12.0,12.0,2,1
16.0,2.770711962226921,16.0,8.0,3,1
14.0,5.009768251656904,11.0,16.0,3,2
12.0,1.6094379124341003,12.0,2.0,3,2
12.0,3.1135153092103742,11.0,12.0,3,1
16.0,3.1280754605417043,12.0,16.0,3,1
12.0,2.4078456036515385,12.0,13.0,3,1
18.0,2.315501318260592,16.0,16.0,3,1
17.0,2.4362414778067194,16.0,15.0,3,2
17.0,2.9564715596006885,16.0,13.0,3,2
17.0,2.2300144001592104,12.0,16.0,3,2
16.0,2.6762154775821916,16.0,14.0,3,1
16.0,2.7936160894318567,18.0,16.0,3,2
7.0,1.8562979903656263,8.0,8.0,2,2
12.0,1.6094379124341003,10.0,7.0,3,2
12.0,1.809926773183504,14.0,7.0,3,2
14.0,1.9572739077056285,14.0,13.0,3,2
15.0,2.157559320943788,12.0,4.0,3,2
